Rank,Network,Network Type,Network Category,Program,Program/Genre Type,Episode Title,New/Live,Premiere/Finale,Date,Day Part,Unique Authors,Unique Authors Share,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Unique Authors
1,FOX,Broadcast,-,The X Factor,Reality Series,Winner Announced,New/Live,-,12/19/13,Primetime,"160,096",18.84%,931,"490,763",28.39%,3.07
2,AETV,Cable,-,Duck Dynasty,Reality Series,Fowl Play,-,-,12/19/13,Early Fringe,123568,14.54%,887,"176,959",10.24%,1.43
3,AETV,Cable,-,Duck Dynasty,Reality Series,Till Duck Do Us Part,-,-,12/19/13,Primetime,"123,091",14.48%,865,"175,500",10.15%,1.43
4,AETV,Cable,-,Duck Dynasty,Reality Series,Duck No We Won't Go,-,-,12/19/13,Early Fringe,"121,908",14.34%,875,"173,973",10.07%,1.43
5,AETV,Cable,-,Duck Dynasty,Reality Series,John Luke After Dentist,-,-,12/19/13,Primetime,"112,326",13.22%,853,"158,645",9.18%,1.41
6,AETV,Cable,-,Duck Dynasty,Reality Series,Scoot Along Si,-,-,12/19/13,Primetime,"106,077",12.48%,852,"149,489",8.65%,1.41
7,CSNBA,Cable,Sports,NBA Basketball,Sports Events,San Antonio Spurs at Golden State Warriors,New/Live,-,12/19/13,Early Fringe,"50,508",5.94%,666,"100,961",5.84%,2.00
8,TNT,Cable,-,NBA Basketball,Sports Events,San Antonio Spurs at Golden State Warriors,New/Live,-,12/19/13,Primetime,"50,508",5.94%,666,"100,961",5.84%,2.00
9,TNT,Cable,-,NBA Basketball,Sports Events,Chicago Bulls at Oklahoma City Thunder,New/Live,-,12/19/13,Primetime,"46,574",5.48%,758,"78,052",4.52%,1.68
10,ESPN,Cable,Sports,SportsCenter,Sports non-event,,New/Live,-,12/19/13,Overnight,"30,282",3.56%,470,"35,324",2.04%,1.17
11,AETV,Cable,-,Duck Dynasty,Reality Series,Too Close for Comfort,-,-,12/19/13,Overnight,"28,324",3.33%,892,"43,451",2.51%,1.53
12,ESPN,Cable,Sports,College Basketball,Sports Events,CARQUEST Auto Parts Classic: Duke vs. UCLA,New/Live,-,12/19/13,Early Fringe,"27,335",3.22%,685,"42,677",2.47%,1.56
13,ESPNEWS,Cable,Sports,SportsCenter,Sports non-event,,New/Live,-,12/19/13,Daytime,"26,735",3.15%,472,"31,016",1.79%,1.16
14,AETV,Cable,-,Duck Dynasty,Reality Series,Going Si-ral,-,-,12/19/13,Overnight,"21,416",2.52%,903,"32,670",1.89%,1.53
15,FX,Cable,-,Step Brothers,Movies,,-,-,12/19/13,Early Fringe,"21,203",2.49%,438,"23,677",1.37%,1.12
16,ABCF,Cable,-,Dr. Seuss' How the Grinch Stole Christmas,Movies,,-,-,12/19/13,Primetime,"19,466",2.29%,453,"21,904",1.27%,1.13
17,NHLNET,Cable,Sports,NHL Hockey,Sports Events,Minnesota Wild at Pittsburgh Penguins,New/Live,-,12/19/13,Early Fringe,"16,125",1.90%,560,"27,757",1.61%,1.72
18,FSNOH,Cable,Sports,NHL Hockey,Sports Events,Columbus Blue Jackets at Philadelphia Flyers,New/Live,-,12/19/13,Early Fringe,"16,099",1.89%,528,"31,611",1.83%,1.96
19,CSNDC,Cable,Sports,NHL Hockey,Sports Events,Columbus Blue Jackets at Philadelphia Flyers,New/Live,-,12/19/13,Early Fringe,"16,099",1.89%,528,"31,611",1.83%,1.96
20,CSNPHL,Cable,Sports,NHL Hockey,Sports Events,Columbus Blue Jackets at Philadelphia Flyers,New/Live,-,12/19/13,Early Fringe,"16,099",1.89%,528,"31,611",1.83%,1.96
21,CSNCH,Cable,Sports,NHL Hockey,Sports Events,Columbus Blue Jackets at Philadelphia Flyers,New/Live,-,12/19/13,Early Fringe,"16,099",1.89%,528,"31,611",1.83%,1.96
22,FSNO4,Cable,Sports,NHL Hockey,Sports Events,Minnesota Wild at Pittsburgh Penguins,New/Live,-,12/19/13,Early Fringe,"15,909",1.87%,559,"27,432",1.59%,1.72
23,FSNO1,Cable,Sports,NHL Hockey,Sports Events,Minnesota Wild at Pittsburgh Penguins,New/Live,-,12/19/13,Early Fringe,"15,909",1.87%,559,"27,432",1.59%,1.72
24,RTNP,Cable,Sports,NHL Hockey,Sports Events,Minnesota Wild at Pittsburgh Penguins,New/Live,-,12/19/13,Early Fringe,"15,909",1.87%,559,"27,432",1.59%,1.72
25,AETV,Cable,-,Duck Dynasty,Reality Series,O Little Town of West Monroe,-,-,12/19/13,,"15,490",1.82%,907,"23,363",1.35%,1.51
26,NBC,Broadcast,-,The Ellen DeGeneres Show,Talk & News,Ellen's 12 Days of Giveaways,New,-,12/19/13,Daytime,"13,735",1.62%,591,"16,256",0.94%,1.18
27,VH1,Cable,-,Forrest Gump,Movies,,-,-,12/19/13,Early Fringe,"12,181",1.43%,454,"14,195",0.82%,1.17
28,ABC,Broadcast,-,The Ellen DeGeneres Show,Talk & News,Ellen's 12 Days of Giveaways,New,-,12/19/13,Daytime,"11,685",1.37%,557,"13,662",0.79%,1.17
29,CBS,Broadcast,-,The Ellen DeGeneres Show,Talk & News,Ellen's 12 Days of Giveaways,New,-,12/19/13,Daytime,"11,685",1.37%,557,"13,662",0.79%,1.17
30,MSG,Cable,Sports,NHL Hockey,Sports Events,Boston Bruins at Buffalo Sabres,New/Live,-,12/19/13,Early Fringe,"10,684",1.26%,653,"19,276",1.12%,1.80
31,NESN,Cable,Sports,NHL Hockey,Sports Events,Boston Bruins at Buffalo Sabres,New/Live,-,12/19/13,Early Fringe,"10,684",1.26%,653,"19,276",1.12%,1.80
32,ESPN2,Cable,Sports,Women's College Volleyball,Sports Events,NCAA Tournament First Semifinal: Wisconsin vs. Texas,New/Live,-,12/19/13,Early Fringe,"10,321",1.21%,501,"15,649",0.91%,1.52
33,VH1,Cable,-,Breakfast Club,Movies,,-,-,12/19/13,Daytime,"8,713",1.03%,551,"9,505",0.55%,1.09
34,ABC,Broadcast,-,A Charlie Brown Christmas,Special Programs Children & Family,,-,-,12/19/13,Primetime,"7,923",0.93%,598,"9,157",0.53%,1.16
35,FSW,Cable,Sports,NHL Hockey,Sports Events,San Jose Sharks at Los Angeles Kings,New/Live,-,12/19/13,Primetime,"7,846",0.92%,607,"16,717",0.97%,2.13
36,CSNCA,Cable,Sports,NHL Hockey,Sports Events,San Jose Sharks at Los Angeles Kings,New/Live,-,12/19/13,Early Fringe,"7,846",0.92%,607,"16,717",0.97%,2.13
37,FSAZ,Cable,Sports,NHL Hockey,Sports Events,Phoenix Coyotes at Toronto Maple Leafs,New/Live,-,12/19/13,Early Fringe,"7,732",0.91%,579,"17,917",1.04%,2.32
38,AETV,Cable,-,Duck Dynasty,Reality Series,Here Lizard Lizard,-,-,12/19/13,,"6,296",0.74%,925,"9,507",0.55%,1.51
39,FSD,Cable,Sports,NHL Hockey,Sports Events,Calgary Flames at Detroit Red Wings,New/Live,-,12/19/13,Early Fringe,"6,217",0.73%,696,"10,308",0.60%,1.66
40,VH1,Cable,-,Mob Wives,Reality Series Docs & Special Interests,,New,-,12/19/13,Primetime,"6,063",0.71%,599,"12,092",0.70%,1.99
41,FX,Cable,-,How I Met Your Mother,Comedy Series,Bad News,-,-,12/19/13,Daytime,"5,969",0.70%,494,"7,029",0.41%,1.18
42,FX,Cable,-,How I Met Your Mother,Comedy Series,Last Words,-,-,12/19/13,Daytime,"5,904",0.69%,493,"6,948",0.40%,1.18
43,AMC,Cable,-,Home Alone 2: Lost in New York,Movies,,-,-,12/19/13,Primetime,"5,579",0.66%,523,"6,133",0.35%,1.10
44,FSNFL,Cable,Sports,NHL Hockey,Sports Events,Florida Panthers at Ottawa Senators,New/Live,-,12/19/13,Early Fringe,"5,516",0.65%,850,"9,159",0.53%,1.66
45,NBC,Broadcast,-,The Sing-Off,Reality Series,Judges' Choice,New,-,12/19/13,Primetime,"5,440",0.64%,514,"12,300",0.71%,2.26
46,TNT,Cable,-,Inside the NBA,Sports non-event,,New/Live,-,12/19/13,Late Fringe,"5,394",0.63%,682,"7,222",0.42%,1.34
47,VH1CL,Cable,-,Breakfast Club,Movies,,-,-,12/19/13,Primetime,"5,305",0.62%,495,"5,683",0.33%,1.07
48,WE,Cable,-,Braxton Family Values,Reality Series,,New,-,12/19/13,Primetime,"5,255",0.62%,884,"14,608",0.85%,2.78
49,USA,Cable,-,Fast Five,Movies,,-,-,12/19/13,Primetime,"5,156",0.61%,509,"5,657",0.33%,1.10
50,LIFE,Cable,-,How I Met Your Mother,Comedy Series,Now We're Even,-,-,12/19/13,Daytime,"5,126",0.60%,489,"5,970",0.35%,1.16
51,TBS,Cable,-,Family Guy,Comedy Series,Road to Vegas,-,-,12/19/13,Primetime,"5,087",0.60%,672,"5,495",0.32%,1.08
52,LIFE,Cable,-,How I Met Your Mother,Comedy Series,Trilogy Time,-,-,12/19/13,Daytime,"5,016",0.59%,491,"5,846",0.34%,1.17
53,ESPN2,Cable,Sports,First Take,Talk & News,,New/Live,-,12/19/13,Morning,"5,005",0.59%,626,"6,255",0.36%,1.25
54,TBS,Cable,-,Family Guy,Comedy Series,No Country Club for Old Men,-,-,12/19/13,Primetime,"4,933",0.58%,663,"5,327",0.31%,1.08
55,TBS,Cable,-,Family Guy,Comedy Series,Friends of Peter G.,-,-,12/19/13,Early Fringe,"4,911",0.58%,655,"5,294",0.31%,1.08
56,ALTSPRT,Cable,Sports,NHL Hockey,Sports Events,Edmonton Oilers at Colorado Avalanche,New/Live,-,12/19/13,Early Fringe,"4,693",0.55%,729,"8,905",0.52%,1.90
57,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Confidential,-,-,12/19/13,Daytime,"4,632",0.54%,568,"5,310",0.31%,1.15
58,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Savior,-,-,12/19/13,Daytime,"4,577",0.54%,566,"5,252",0.30%,1.15
59,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Witness,-,-,12/19/13,Early Fringe,"4,556",0.54%,588,"5,188",0.30%,1.14
60,ESPN2,Cable,Sports,SportsNation,Talk & News,,New/Live,-,12/19/13,Daytime,"4,457",0.52%,372,"4,882",0.28%,1.10
61,ESPN2,Cable,Sports,Women's College Volleyball,Sports Events,NCAA Tournament Second Semifinal: Washington vs. Penn State,New/Live,-,12/19/13,Primetime,"4,451",0.52%,637,"6,280",0.36%,1.41
62,NIK,Cable,-,The SpongeBob SquarePants Movie,Movies,,-,-,12/19/13,Early Fringe,"4,427",0.52%,499,"4,653",0.27%,1.05
63,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Quickie,-,-,12/19/13,Daytime,"4,392",0.52%,571,"5,020",0.29%,1.14
64,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Disabled,-,-,12/19/13,Early Fringe,"4,380",0.52%,599,"4,995",0.29%,1.14
65,COMEDY,Cable,-,The Daily Show With Jon Stewart,Talk & News Comedy Series,Steve Carell; Will Ferrell; David Koechner; Paul Rudd,-,-,12/19/13,Morning,"4,349",0.51%,939,"5,360",0.31%,1.23
66,FSNNO,Cable,Sports,NHL Hockey,Sports Events,Vancouver Canucks at Dallas Stars,New/Live,-,12/19/13,Early Fringe,"4,295",0.51%,721,"7,783",0.45%,1.81
67,FSS,Cable,Sports,NHL Hockey,Sports Events,Vancouver Canucks at Dallas Stars,New/Live,-,12/19/13,Primetime,"4,295",0.51%,721,"7,783",0.45%,1.81
68,CSNNW,Cable,Sports,NHL Hockey,Sports Events,Vancouver Canucks at Dallas Stars,New/Live,-,12/19/13,Early Fringe,"4,295",0.51%,721,"7,783",0.45%,1.81
69,FOXSWCC,Cable,Sports,NHL Hockey,Sports Events,Vancouver Canucks at Dallas Stars,New/Live,-,12/19/13,Early Fringe,"4,295",0.51%,721,"7,783",0.45%,1.81
70,CNN,Cable,News,Piers Morgan Live,Talk & News,,New/Live,-,12/19/13,Primetime,"4,248",0.50%,879,"6,587",0.38%,1.55
71,WE,Cable,-,Braxton Family Values,Reality Series,Back to Braxton Business,-,-,12/19/13,Early Fringe,"4,242",0.50%,901,"11,268",0.65%,2.66
72,COMEDY,Cable,-,South Park,Comedy Series,The New Terrance and Phillip Movie Trailer,-,-,12/19/13,Daytime,"4,192",0.49%,573,"4,605",0.27%,1.10
73,WE,Cable,-,Braxton Family Values,Reality Series,Tour De Divas,-,-,12/19/13,Early Fringe,"4,183",0.49%,898,"11,146",0.64%,2.66
74,ADSM,Cable,-,Family Guy,Comedy Series,A Hero Sits Next Door,-,-,12/19/13,Late Fringe,"4,172",0.49%,678,"4,509",0.26%,1.08
75,WE,Cable,-,Braxton Family Values,Reality Series,Birthday-Zilla,-,-,12/19/13,Primetime,"4,085",0.48%,895,"10,923",0.63%,2.67
76,CW,Broadcast,-,The Vampire Diaries,Drama Series Sci-Fi Series,Death and the Maiden,-,-,12/19/13,Primetime,"4,075",0.48%,919,"5,981",0.35%,1.47
77,COMEDY,Cable,-,South Park,Comedy Series,Trapper Keeper,-,-,12/19/13,Daytime,"4,047",0.48%,576,"4,418",0.26%,1.09
78,COMEDY,Cable,-,South Park,Comedy Series,Cartman's Silly Hate Crime 2000,-,-,12/19/13,Daytime,"4,038",0.48%,578,"4,433",0.26%,1.10
79,COMEDY,Cable,-,South Park,Comedy Series,Fat Camp,-,-,12/19/13,Daytime,"4,036",0.47%,578,"4,414",0.26%,1.09
80,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Conned,-,-,12/19/13,Early Fringe,"4,028",0.47%,627,"4,608",0.27%,1.14
81,CW,Broadcast,-,How I Met Your Mother,Comedy Series,Architect of Destruction,-,-,12/19/13,Primetime,"3,957",0.47%,432,"4,483",0.26%,1.13
82,COMEDY,Cable,-,South Park,Comedy Series,Sexual Harassment Panda,-,-,12/19/13,Daytime,"3,944",0.46%,577,"4,290",0.25%,1.09
83,DISN,Cable,-,Tarzan,Movies,,-,-,12/19/13,Daytime,"3,944",0.46%,454,"4,122",0.24%,1.05
84,AETV,Cable,-,Duck Dynasty,Reality Series,Sweatin' Bullets,-,-,12/19/13,,"3,943",0.46%,942,"5,824",0.34%,1.48
85,COMEDY,Cable,-,South Park,Comedy Series,Jewbilee,-,-,12/19/13,Daytime,"3,872",0.46%,584,"4,222",0.24%,1.09
86,OXYGEN,Cable,-,Glee,Comedy Series,Glee Actually,-,-,12/19/13,,"3,855",0.45%,881,"5,281",0.31%,1.37
87,ADSM,Cable,-,Family Guy,Comedy Series,Space Cadet,-,-,12/19/13,Late Fringe,"3,835",0.45%,668,"4,140",0.24%,1.08
88,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,The Pineapple Incident,-,-,12/19/13,Early Fringe,"3,832",0.45%,423,"4,355",0.25%,1.14
89,WE,Cable,-,Braxton Family Values,Reality Series,I Don't Have No Baby,-,-,12/19/13,Early Fringe,"3,816",0.45%,924,"10,366",0.60%,2.72
90,OXYGEN,Cable,-,Glee,Comedy Series,A Very Glee Christmas,-,-,12/19/13,Early Morning,"3,808",0.45%,847,"5,157",0.30%,1.35
91,MTV,Cable,-,Girl Code,Comedy Series,,-,-,12/19/13,Late Fringe,"3,784",0.45%,459,"4,258",0.25%,1.13
92,COMEDY,Cable,-,South Park,Comedy Series,Free Hat,-,-,12/19/13,Daytime,"3,735",0.44%,583,"4,108",0.24%,1.10
93,FSM3,Cable,Sports,NHL Hockey,Sports Events,Montreal Canadiens at St. Louis Blues,New/Live,-,12/19/13,Early Fringe,"3,710",0.44%,662,"7,390",0.43%,1.99
94,FSI,Cable,Sports,NHL Hockey,Sports Events,Montreal Canadiens at St. Louis Blues,New/Live,-,12/19/13,Primetime,"3,710",0.44%,662,"7,390",0.43%,1.99
95,FSM,Cable,Sports,NHL Hockey,Sports Events,Montreal Canadiens at St. Louis Blues,New/Live,-,12/19/13,Early Fringe,"3,710",0.44%,662,"7,390",0.43%,1.99
96,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Lost Reputation,-,-,12/19/13,Primetime,"3,671",0.43%,637,"4,213",0.24%,1.15
97,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,Zip Zip Zip,-,-,12/19/13,Early Fringe,"3,670",0.43%,419,"4,146",0.24%,1.13
98,NBC,Broadcast,-,Today,Talk & News,,New,-,12/19/13,Early Morning,"3,641",0.43%,963,"4,848",0.28%,1.33
99,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Anchor,-,-,12/19/13,Daytime,"3,633",0.43%,580,"4,099",0.24%,1.13
100,CW,Broadcast,-,Maury,Talk & News,Is My Fiance Cheating With My Sister and Co-worker?,New,-,12/19/13,Morning,"3,622",0.43%,775,"4,110",0.24%,1.13
101,MYNETTV,Broadcast,-,Family Guy,Comedy Series,A Picture Is Worth 1000 Bucks,-,-,12/19/13,Early Fringe,"3,602",0.42%,629,"3,853",0.22%,1.07
102,LIFE,Cable,-,Project Runway All Stars,Reality Series,Nina's Trending,New,-,12/19/13,Primetime,"3,599",0.42%,919,"5,914",0.34%,1.64
106,NBC,Broadcast,-,Today,Talk & News,,New,-,12/19/13,Morning,"3,533",0.42%,969,"4,694",0.27%,1.33
107,MYNETTV,Broadcast,-,Family Guy,Comedy Series,Not All Dogs Go to Heaven,-,-,12/19/13,Late Fringe,"3,522",0.41%,661,"3,801",0.22%,1.08
108,COMEDY,Cable,-,South Park,Comedy Series,Prehistoric Ice Man,-,-,12/19/13,Morning,"3,479",0.41%,593,"3,830",0.22%,1.10
109,NBC,Broadcast,-,Today,Talk & News,,New,-,12/19/13,Morning,"3,470",0.41%,958,"4,573",0.26%,1.32
110,VH1,Cable,-,Dirty Dancing,Movies,,-,-,12/19/13,Daytime,"3,432",0.40%,450,"3,749",0.22%,1.09
111,COMEDY,Cable,-,South Park,Comedy Series,Succubus,-,-,12/19/13,Early Fringe,"3,421",0.40%,595,"3,775",0.22%,1.10
112,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,The Naked Man,-,-,12/19/13,Primetime,"3,409",0.40%,404,"3,839",0.22%,1.13
113,NBC,Broadcast,-,Today,Talk & News,,New,-,12/19/13,Early Morning,"3,341",0.39%,960,"4,363",0.25%,1.31
