Rank,Network,Network Type,Network Category,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
1,FOX,Broadcast,-,44,"178,938",21.05%,"4,067",920,"514,428",29.76%,"11,692",2.87,
2,AETV,Cable,-,28,"162,044",19.06%,"5,787",869,"242,791",14.05%,"8,671",1.50,
3,TNT,Cable,-,29,"88,306",10.39%,"3,045",827,"174,885",10.12%,"6,031",1.98,
4,ESPN,Cable,Sports,6,"54,447",6.41%,"9,075",568,"76,175",4.41%,"12,696",1.40,
5,CSNBA,Cable,Sports,6,"50,603",5.95%,"8,434",668,"101,069",5.85%,"16,845",2.00,
6,ABC,Broadcast,-,31,"38,941",4.58%,"1,256",772,"52,864",3.06%,"1,705",1.36,
7,NBC,Broadcast,-,33,"34,768",4.09%,"1,054",773,"51,048",2.95%,"1,547",1.47,
8,VH1,Cable,-,15,"30,705",3.61%,"2,047",563,"41,359",2.39%,"2,757",1.35,
9,ESPNEWS,Cable,Sports,9,"30,640",3.60%,"3,404",448,"35,722",2.07%,"3,969",1.17,
10,FX,Cable,-,24,"28,717",3.38%,"1,197",487,"32,573",1.88%,"1,357",1.13,
11,ESPN2,Cable,Sports,16,"27,649",3.25%,"1,728",515,"38,286",2.22%,"2,393",1.38,
12,CBS,Broadcast,-,31,"25,912",3.05%,836,671,"41,147",2.38%,"1,327",1.59,
13,ABCF,Cable,-,14,"22,977",2.70%,"1,641",472,"25,904",1.50%,"1,850",1.13,
14,CW,Broadcast,-,54,"21,470",2.53%,398,738,"27,040",1.56%,501,1.26,
15,COMEDY,Cable,-,39,"18,776",2.21%,481,659,"22,264",1.29%,571,1.19,
16,MYNETTV,Broadcast,-,40,"18,607",2.19%,465,645,"21,219",1.23%,530,1.14,
17,FSNO1,Cable,Sports,6,"17,132",2.02%,"2,855",581,"29,293",1.69%,"4,882",1.71,
18,CSNCH,Cable,Sports,7,"16,936",1.99%,"2,419",566,"32,905",1.90%,"4,701",1.94,
19,RTNP,Cable,Sports,7,"16,150",1.90%,"2,307",566,"27,707",1.60%,"3,958",1.72,
20,NHLNET,Cable,Sports,3,"16,148",1.90%,"5,383",563,"27,799",1.61%,"9,266",1.72,
21,CSNDC,Cable,Sports,5,"16,108",1.90%,"3,222",530,"31,620",1.83%,"6,324",1.96,
22,FSNOH,Cable,Sports,5,"16,106",1.89%,"3,221",528,"31,618",1.83%,"6,324",1.96,
23,CSNPHL,Cable,Sports,2,"16,105",1.89%,"8,053",528,"31,617",1.83%,"15,809",1.96,
24,FSNO4,Cable,Sports,5,"15,916",1.87%,"3,183",560,"27,440",1.59%,"5,488",1.72,
25,TBS,Cable,-,53,"15,714",1.85%,296,647,"18,240",1.06%,344,1.16,
26,USA,Cable,-,31,"13,281",1.56%,428,591,"16,865",0.98%,544,1.27,
27,LIFE,Cable,-,22,"12,042",1.42%,547,645,"15,755",0.91%,716,1.31,
28,FNC,Cable,News,18,"11,967",1.41%,665,"1,071","22,267",1.29%,"1,237",1.86,
29,NESN,Cable,Sports,7,"10,716",1.26%,"1,531",656,"19,314",1.12%,"2,759",1.80,
30,MSG,Cable,Sports,9,"10,715",1.26%,"1,191",657,"19,314",1.12%,"2,146",1.80,
31,E,Cable,-,25,"9,327",1.10%,373,557,"10,870",0.63%,435,1.17,
32,CNN,Cable,News,15,"9,026",1.06%,602,836,"13,921",0.81%,928,1.54,
33,NIK,Cable,-,54,"8,779",1.03%,163,516,"9,348",0.54%,173,1.06,
34,AMC,Cable,-,10,"8,528",1.00%,853,519,"9,439",0.55%,944,1.11,
35,FSAZ,Cable,Sports,5,"8,362",0.98%,"1,672",635,"18,951",1.10%,"3,790",2.27,
36,CSNCA,Cable,Sports,6,"8,181",0.96%,"1,364",628,"17,159",0.99%,"2,860",2.10,
37,FSW,Cable,Sports,5,"7,861",0.92%,"1,572",610,"16,733",0.97%,"3,347",2.13,
38,MTV,Cable,-,27,"7,157",0.84%,265,500,"8,603",0.50%,319,1.20,
39,OXYGEN,Cable,-,20,"6,989",0.82%,349,"1,062","9,387",0.54%,469,1.34,
40,WGNAMER,Cable,-,32,"6,668",0.78%,208,430,"7,585",0.44%,237,1.14,
41,DISN,Cable,-,52,"6,489",0.76%,125,671,"7,008",0.41%,135,1.08,
42,ADSM,Cable,-,26,"6,250",0.74%,240,673,"6,806",0.39%,262,1.09,
43,FSD,Cable,Sports,3,"6,218",0.73%,"2,073",696,"10,309",0.60%,"3,436",1.66,
44,WE,Cable,-,15,"6,067",0.71%,404,959,"16,097",0.93%,"1,073",2.65,
45,SOAP,Cable,-,14,"5,522",0.65%,394,528,"11,255",0.65%,804,2.04,
46,FSNFL,Cable,Sports,7,"5,521",0.65%,789,854,"9,165",0.53%,"1,309",1.66,
47,VH1CL,Cable,-,12,"5,473",0.64%,456,504,"5,868",0.34%,489,1.07,
48,SPIKETV,Cable,-,33,"5,454",0.64%,165,645,"12,821",0.74%,389,2.35,
49,BET,Cable,-,20,"5,149",0.61%,257,908,"6,206",0.36%,310,1.21,
50,MSNBC,Cable,News,18,"4,847",0.57%,269,"1,431","12,860",0.74%,714,2.65,
51,ALTSPRT,Cable,Sports,3,"4,698",0.55%,"1,566",729,"8,911",0.52%,"2,970",1.90,
52,TNCK,Cable,-,41,"4,465",0.53%,109,754,"4,961",0.29%,121,1.11,
53,CSNNW,Cable,Sports,3,"4,368",0.51%,"1,456",729,"7,861",0.45%,"2,620",1.80,
54,FSS,Cable,Sports,3,"4,298",0.51%,"1,433",723,"7,786",0.45%,"2,595",1.81,
55,FOXSWCC,Cable,Sports,2,"4,297",0.51%,"2,149",723,"7,785",0.45%,"3,893",1.81,
56,FSNNO,Cable,Sports,2,"4,297",0.51%,"2,149",723,"7,785",0.45%,"3,893",1.81,
57,FXX,Cable,-,22,"4,142",0.49%,188,583,"4,619",0.27%,210,1.12,
58,SUN,Cable,Sports,7,"4,104",0.48%,586,"1,050","6,822",0.39%,975,1.66,
59,NBATV,Cable,Sports,5,"3,799",0.45%,760,804,"5,009",0.29%,"1,002",1.32,
60,KDOC,Broadcast,-,40,"3,730",0.44%,93,836,"4,354",0.25%,109,1.17,
61,FSM3,Cable,Sports,3,"3,710",0.44%,"1,237",662,"7,390",0.43%,"2,463",1.99,
62,FSI,Cable,Sports,3,"3,710",0.44%,"1,237",662,"7,390",0.43%,"2,463",1.99,
63,FSM,Cable,Sports,3,"3,710",0.44%,"1,237",662,"7,390",0.43%,"2,463",1.99,
64,FSSD,Cable,Sports,4,"3,648",0.43%,912,"1,061","5,419",0.31%,"1,355",1.49,
65,UNI,Broadcast,Hispanic,18,"3,535",0.42%,196,870,"5,545",0.32%,308,1.57,
66,STZK,Cable,Premium,10,"3,147",0.37%,315,515,"3,521",0.20%,352,1.12,
67,BRAVO,Cable,-,23,"3,101",0.36%,135,971,"4,495",0.26%,195,1.45,
68,PRIME,Cable,Sports,4,"3,081",0.36%,770,933,"4,416",0.26%,"1,104",1.43,
69,HBOC,Cable,Premium,17,"2,919",0.34%,172,536,"3,120",0.18%,184,1.07,
