Rank,Network,Network Type,Network Category,Program,Program/Genre Type,Episode Title,New/Live,Premiere/Finale,Date,Day Part,Unique Authors,Unique Authors Share,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Unique Authors,
1,FOX,Broadcast,-,The X Factor,Reality Series,Winner Announced,New/Live,-,12/19/13,Primetime,"160,096",18.84%,931,"490,763",28.39%,3.07,
2,AETV,Cable,-,Duck Dynasty,Reality Series,Till Duck Do Us Part,-,-,12/19/13,Primetime,"123,091",14.48%,865,"175,500",10.15%,1.43,
3,AETV,Cable,-,Duck Dynasty,Reality Series,John Luke After Dentist,-,-,12/19/13,Primetime,"112,326",13.22%,853,"158,645",9.18%,1.41,
4,AETV,Cable,-,Duck Dynasty,Reality Series,Scoot Along Si,-,-,12/19/13,Primetime,"106,077",12.48%,852,"149,489",8.65%,1.41,
5,TNT,Cable,-,NBA Basketball,Sports Events,San Antonio Spurs at Golden State Warriors,New/Live,-,12/19/13,Primetime,"50,508",5.94%,666,"100,961",5.84%,2.00,
6,TNT,Cable,-,NBA Basketball,Sports Events,Chicago Bulls at Oklahoma City Thunder,New/Live,-,12/19/13,Primetime,"46,574",5.48%,758,"78,052",4.52%,1.68,
7,ABCF,Cable,-,Dr. Seuss' How the Grinch Stole Christmas,Movies,,-,-,12/19/13,Primetime,"19,466",2.29%,453,"21,904",1.27%,1.13,
8,ABC,Broadcast,-,A Charlie Brown Christmas,"Special Programs, Children & Family",,-,-,12/19/13,Primetime,"7,923",0.93%,598,"9,157",0.53%,1.16,
9,FSW,Cable,Sports,NHL Hockey,Sports Events,San Jose Sharks at Los Angeles Kings,New/Live,-,12/19/13,Primetime,"7,846",0.92%,607,"16,717",0.97%,2.13,
10,VH1,Cable,-,Mob Wives,"Reality Series, Docs & Special Interests",,New,-,12/19/13,Primetime,"6,063",0.71%,599,"12,092",0.70%,1.99,
11,AMC,Cable,-,Home Alone 2: Lost in New York,Movies,,-,-,12/19/13,Primetime,"5,579",0.66%,523,"6,133",0.35%,1.10,
12,NBC,Broadcast,-,The Sing-Off,Reality Series,Judges' Choice,New,-,12/19/13,Primetime,"5,440",0.64%,514,"12,300",0.71%,2.26,
13,VH1CL,Cable,-,Breakfast Club,Movies,,-,-,12/19/13,Primetime,"5,305",0.62%,495,"5,683",0.33%,1.07,
14,WE,Cable,-,Braxton Family Values,Reality Series,,New,-,12/19/13,Primetime,"5,255",0.62%,884,"14,608",0.85%,2.78,
15,USA,Cable,-,Fast Five,Movies,,-,-,12/19/13,Primetime,"5,156",0.61%,509,"5,657",0.33%,1.10,
16,TBS,Cable,-,Family Guy,Comedy Series,Road to Vegas,-,-,12/19/13,Primetime,"5,087",0.60%,672,"5,495",0.32%,1.08,
17,TBS,Cable,-,Family Guy,Comedy Series,No Country Club for Old Men,-,-,12/19/13,Primetime,"4,933",0.58%,663,"5,327",0.31%,1.08,
18,ESPN2,Cable,Sports,Women's College Volleyball,Sports Events,"NCAA Tournament, Second Semifinal: Washington vs. Penn State",New/Live,-,12/19/13,Primetime,"4,451",0.52%,637,"6,280",0.36%,1.41,
19,FSS,Cable,Sports,NHL Hockey,Sports Events,Vancouver Canucks at Dallas Stars,New/Live,-,12/19/13,Primetime,"4,295",0.51%,721,"7,783",0.45%,1.81,
20,CNN,Cable,News,Piers Morgan Live,Talk & News,,New/Live,-,12/19/13,Primetime,"4,248",0.50%,879,"6,587",0.38%,1.55,
21,WE,Cable,-,Braxton Family Values,Reality Series,Birthday-Zilla,-,-,12/19/13,Primetime,"4,085",0.48%,895,"10,923",0.63%,2.67,
22,CW,Broadcast,-,The Vampire Diaries,"Drama Series, Sci-Fi Series",Death and the Maiden,-,-,12/19/13,Primetime,"4,075",0.48%,919,"5,981",0.35%,1.47,
23,CW,Broadcast,-,How I Met Your Mother,Comedy Series,Architect of Destruction,-,-,12/19/13,Primetime,"3,957",0.47%,432,"4,483",0.26%,1.13,
24,FSI,Cable,Sports,NHL Hockey,Sports Events,Montreal Canadiens at St. Louis Blues,New/Live,-,12/19/13,Primetime,"3,710",0.44%,662,"7,390",0.43%,1.99,
25,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,Lost Reputation,-,-,12/19/13,Primetime,"3,671",0.43%,637,"4,213",0.24%,1.15,
26,LIFE,Cable,-,Project Runway All Stars,Reality Series,Nina's Trending,New,-,12/19/13,Primetime,"3,599",0.42%,919,"5,914",0.34%,1.64,
27,FNC,Cable,News,Hannity,Talk & News,,New,-,12/19/13,Primetime,"3,574",0.42%,"1,043","5,393",0.31%,1.51,
28,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,Lucky Penny,-,-,12/19/13,Primetime,"3,548",0.42%,415,"3,997",0.23%,1.13,
29,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,The Naked Man,-,-,12/19/13,Primetime,"3,409",0.40%,404,"3,839",0.22%,1.13,
30,SPIKETV,Cable,-,iMPACT Wrestling,Series,,New,-,12/19/13,Primetime,"3,309",0.39%,869,"10,549",0.61%,3.19,
31,FNC,Cable,News,The Kelly File,Talk & News,,New,-,12/19/13,Primetime,"3,134",0.37%,"1,088","4,687",0.27%,1.50,
32,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,Everything Must Go,-,-,12/19/13,Primetime,"3,117",0.37%,444,"3,498",0.20%,1.12,
33,HBOC,Cable,Premium,Pitch Perfect,Movies,,-,-,12/19/13,Primetime,"2,558",0.30%,529,"2,748",0.16%,1.07,
34,MYNETTV,Broadcast,-,Law & Order: Special Victims Unit,Drama Series,Hysteria,-,-,12/19/13,Primetime,"2,487",0.29%,645,"2,852",0.17%,1.15,
35,ABC,Broadcast,-,The Year,Special Programs,,New,-,12/19/13,Primetime,"2,330",0.27%,925,"3,132",0.18%,1.34,
36,CW,Broadcast,-,How I Met Your Mother,Comedy Series,Happily Ever After,-,-,12/19/13,Primetime,"2,322",0.27%,450,"2,599",0.15%,1.12,
37,CBS,Broadcast,-,The Big Bang Theory,Comedy Series,The Deception Verification,-,-,12/19/13,Primetime,"2,272",0.27%,527,"2,881",0.17%,1.27,
38,TBS,Cable,-,The Big Bang Theory,Comedy Series,The Good Guy Fluctuation,-,-,12/19/13,Primetime,"2,211",0.26%,509,"2,817",0.16%,1.27,
39,USA,Cable,-,White Collar,Drama Series,No Good Deed,New,-,12/19/13,Primetime,"2,198",0.26%,652,"4,021",0.23%,1.83,
40,TBS,Cable,-,The Big Bang Theory,Comedy Series,The Isolation Permutation,-,-,12/19/13,Primetime,"2,153",0.25%,495,"2,758",0.16%,1.28,
41,KDOC,Broadcast,-,Law & Order: Special Victims Unit,Drama Series,Hysteria,-,-,12/19/13,Primetime,"2,049",0.24%,666,"2,357",0.14%,1.15,
42,TBS,Cable,-,The Big Bang Theory,Comedy Series,The Ornithophobia Diffusion,-,-,12/19/13,Primetime,"1,979",0.23%,478,"2,561",0.15%,1.29,
43,TRUTV,Cable,-,Impractical Jokers,"Comedy Series, Reality Series",All The Wrong Moves,New,-,12/19/13,Primetime,"1,934",0.23%,445,"2,297",0.13%,1.19,
44,MYNETTV,Broadcast,-,The Big Bang Theory,Comedy Series,The Shiny Trinket Maneuver,-,-,12/19/13,Primetime,"1,921",0.23%,509,"2,377",0.14%,1.24,
45,TRUTV,Cable,-,Impractical Jokers,"Comedy Series, Reality Series",Bellydancer,-,-,12/19/13,Primetime,"1,876",0.22%,465,"2,150",0.12%,1.15,
46,SUN,Cable,Sports,College Basketball,Sports Events,Clemson at Auburn,New/Live,-,12/19/13,Primetime,"1,871",0.22%,963,"2,561",0.15%,1.37,
47,SPSOUTH,Cable,Sports,College Basketball,Sports Events,Clemson at Auburn,New/Live,-,12/19/13,Primetime,"1,871",0.22%,963,"2,561",0.15%,1.37,
48,TRUTV,Cable,-,Impractical Jokers,"Comedy Series, Reality Series",Everything's Just Rosie,-,-,12/19/13,Primetime,"1,870",0.22%,465,"2,143",0.12%,1.15,
49,ION,Broadcast,-,Criminal Minds,Drama Series,Unknown Subject,-,-,12/19/13,Primetime,"1,865",0.22%,529,"2,181",0.13%,1.17,
50,AETV,Cable,-,Rodeo Girls,Reality Series,Bikinis or Bust,New,-,12/19/13,Primetime,"1,849",0.22%,433,"2,750",0.16%,1.49,
51,ION,Broadcast,-,Criminal Minds,Drama Series,Snake Eyes,-,-,12/19/13,Primetime,"1,778",0.21%,532,"2,076",0.12%,1.17,
52,ION,Broadcast,-,Criminal Minds,Drama Series,Closing Time,-,-,12/19/13,Primetime,"1,675",0.20%,512,"1,922",0.11%,1.15,
53,HISTORY,Cable,-,Pawn Stars,"Drama Series, Reality Series",It's a Wonderful Pawn,-,-,12/19/13,Primetime,"1,657",0.19%,549,"2,532",0.15%,1.53,
54,HISTORY,Cable,-,Pawn Stars,"Drama Series, Reality Series",A Very Vegas Christmas,New,-,12/19/13,Primetime,"1,641",0.19%,548,"2,526",0.15%,1.54,
55,BET,Cable,-,Love Jones,Movies,,-,-,12/19/13,Primetime,"1,622",0.19%,721,"1,846",0.11%,1.14,
56,HISTORY,Cable,-,Pawn Stars,"Drama Series, Reality Series",Santa Chum,-,-,12/19/13,Primetime,"1,618",0.19%,536,"2,487",0.14%,1.54,
57,HISTORY,Cable,-,Pawn Stars,"Drama Series, Reality Series",Another Christmas Story,New,-,12/19/13,Primetime,"1,520",0.18%,546,"2,395",0.14%,1.58,
58,LIFE,Cable,-,Project Runway All Stars,Reality Series,As Sewn on TV,-,-,12/19/13,Primetime,"1,432",0.17%,"1,144","2,821",0.16%,1.97,
59,MTV,Cable,-,Catfish,Movies,,-,-,12/19/13,Primetime,"1,270",0.15%,630,"1,378",0.08%,1.09,
60,TBS,Cable,-,Ground Floor,Comedy Series,If I Were a Rich Man,New,-,12/19/13,Primetime,"1,264",0.15%,849,"1,802",0.10%,1.43,
61,KDOC,Broadcast,-,Law & Order: Special Victims Unit,Drama Series,Coerced,-,-,12/19/13,Primetime,"1,233",0.15%,738,"1,429",0.08%,1.16,
62,FCSP,Cable,Sports,College Basketball,Sports Events,USC at Long Beach State,New/Live,-,12/19/13,Primetime,"1,224",0.14%,893,"1,853",0.11%,1.51,
63,FSNO1,Cable,Sports,College Basketball,Sports Events,USC at Long Beach State,New/Live,-,12/19/13,Primetime,"1,224",0.14%,893,"1,853",0.11%,1.51,
64,COMEDY,Cable,-,Key & Peele,Comedy Series,,-,-,12/19/13,Primetime,"1,211",0.14%,543,"1,326",0.08%,1.09,
