Rank,Network,Network Type,Network Category,Program,Program/Genre Type,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
1,FOX,Broadcast,-,The X Factor,Reality Series,1,"160,096",18.84%,"160,096",931,"490,763",28.39%,"490,763",3.07,
2,AETV,Cable,-,Duck Dynasty,Reality Series,3,"123,091",14.48%,"41,030",857,"175,500",10.15%,"58,500",1.43,
3,TNT,Cable,-,NBA Basketball,Sports Events,2,"85,056",10.01%,"42,528",706,"169,154",9.79%,"84,577",1.99,
4,ABCF,Cable,-,Dr. Seuss' How the Grinch Stole Christmas,Movies,1,"19,466",2.29%,"19,466",453,"21,904",1.27%,"21,904",1.13,
5,ABC,Broadcast,-,A Charlie Brown Christmas,"Children & Family, Special Programs",1,"7,923",0.93%,"7,923",598,"9,157",0.53%,"9,157",1.16,
6,FSW,Cable,Sports,NHL Hockey,Sports Events,1,"7,846",0.92%,"7,846",607,"16,717",0.97%,"16,717",2.13,
7,VH1,Cable,-,Mob Wives,"Reality Series, Docs & Special Interests",1,"6,063",0.71%,"6,063",599,"12,092",0.70%,"12,092",1.99,
8,AMC,Cable,-,Home Alone 2: Lost in New York,Movies,1,"5,579",0.66%,"5,579",523,"6,133",0.35%,"6,133",1.10,
9,NBC,Broadcast,-,The Sing-Off,Reality Series,1,"5,440",0.64%,"5,440",514,"12,300",0.71%,"12,300",2.26,
10,WE,Cable,-,Braxton Family Values,Reality Series,2,"5,397",0.63%,"2,699",889,"14,864",0.86%,"7,432",2.75,
11,VH1CL,Cable,-,Breakfast Club,Movies,1,"5,305",0.62%,"5,305",495,"5,683",0.33%,"5,683",1.07,
12,TBS,Cable,-,Family Guy,Comedy Series,2,"5,234",0.62%,"2,617",668,"5,651",0.33%,"2,826",1.08,
13,USA,Cable,-,Fast Five,Movies,1,"5,156",0.61%,"5,156",509,"5,657",0.33%,"5,657",1.10,
14,ESPN2,Cable,Sports,Women's College Volleyball,Sports Events,1,"4,451",0.52%,"4,451",637,"6,280",0.36%,"6,280",1.41,
15,FSS,Cable,Sports,NHL Hockey,Sports Events,1,"4,295",0.51%,"4,295",721,"7,783",0.45%,"7,783",1.81,
16,CNN,Cable,News,Piers Morgan Live,Talk & News,1,"4,248",0.50%,"4,248",879,"6,587",0.38%,"6,587",1.55,
17,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,3,"4,242",0.50%,"1,414",420,"4,798",0.28%,"1,599",1.13,
18,CW,Broadcast,-,The Vampire Diaries,"Drama Series, Sci-Fi Series",1,"4,075",0.48%,"4,075",919,"5,981",0.35%,"5,981",1.47,
19,CW,Broadcast,-,How I Met Your Mother,Comedy Series,2,"4,022",0.47%,"2,011",438,"4,557",0.26%,"2,279",1.13,
20,FSI,Cable,Sports,NHL Hockey,Sports Events,1,"3,710",0.44%,"3,710",662,"7,390",0.43%,"7,390",1.99,
21,USA,Cable,-,Law & Order: Special Victims Unit,Drama Series,1,"3,671",0.43%,"3,671",637,"4,213",0.24%,"4,213",1.15,
22,LIFE,Cable,-,Project Runway All Stars,Reality Series,2,"3,630",0.43%,"1,815",992,"5,951",0.34%,"2,976",1.64,
23,FNC,Cable,News,Hannity,Talk & News,1,"3,574",0.42%,"3,574","1,043","5,393",0.31%,"5,393",1.51,
24,SPIKETV,Cable,-,iMPACT Wrestling,Series,1,"3,309",0.39%,"3,309",869,"10,549",0.61%,"10,549",3.19,
25,FNC,Cable,News,The Kelly File,Talk & News,1,"3,134",0.37%,"3,134","1,088","4,687",0.27%,"4,687",1.50,
26,HBOC,Cable,Premium,Pitch Perfect,Movies,1,"2,558",0.30%,"2,558",529,"2,748",0.16%,"2,748",1.07,
27,MYNETTV,Broadcast,-,Law & Order: Special Victims Unit,Drama Series,1,"2,487",0.29%,"2,487",645,"2,852",0.17%,"2,852",1.15,
28,ABC,Broadcast,-,The Year,Special Programs,1,"2,330",0.27%,"2,330",925,"3,132",0.18%,"3,132",1.34,
29,TBS,Cable,-,The Big Bang Theory,Comedy Series,3,"2,278",0.27%,759,494,"2,950",0.17%,983,1.29,
30,CBS,Broadcast,-,The Big Bang Theory,Comedy Series,1,"2,272",0.27%,"2,272",527,"2,881",0.17%,"2,881",1.27,
31,USA,Cable,-,White Collar,Drama Series,1,"2,198",0.26%,"2,198",652,"4,021",0.23%,"4,021",1.83,
32,KDOC,Broadcast,-,Law & Order: Special Victims Unit,Drama Series,2,"2,115",0.25%,"1,058",693,"2,429",0.14%,"1,215",1.15,
33,TRUTV,Cable,-,Impractical Jokers,"Comedy Series, Reality Series",3,"1,951",0.23%,650,458,"2,318",0.13%,773,1.19,
34,MYNETTV,Broadcast,-,The Big Bang Theory,Comedy Series,1,"1,921",0.23%,"1,921",509,"2,377",0.14%,"2,377",1.24,
35,ION,Broadcast,-,Criminal Minds,Drama Series,3,"1,907",0.22%,636,525,"2,233",0.13%,744,1.17,
36,SPSOUTH,Cable,Sports,College Basketball,Sports Events,1,"1,871",0.22%,"1,871",963,"2,561",0.15%,"2,561",1.37,
37,SUN,Cable,Sports,College Basketball,Sports Events,1,"1,871",0.22%,"1,871",963,"2,561",0.15%,"2,561",1.37,
38,AETV,Cable,-,Rodeo Girls,Reality Series,1,"1,849",0.22%,"1,849",433,"2,750",0.16%,"2,750",1.49,
39,HISTORY,Cable,-,Pawn Stars,"Reality Series, Drama Series",4,"1,705",0.20%,426,545,"2,601",0.15%,650,1.53,
40,BET,Cable,-,Love Jones,Movies,1,"1,622",0.19%,"1,622",721,"1,846",0.11%,"1,846",1.14,
41,FCSP,Cable,Sports,College Basketball,Sports Events,2,"1,473",0.17%,737,914,"2,184",0.13%,"1,092",1.48,
42,MTV,Cable,-,Catfish,Movies,1,"1,270",0.15%,"1,270",630,"1,378",0.08%,"1,378",1.09,
43,TBS,Cable,-,Ground Floor,Comedy Series,1,"1,264",0.15%,"1,264",849,"1,802",0.10%,"1,802",1.43,
44,FSNO1,Cable,Sports,College Basketball,Sports Events,1,"1,224",0.14%,"1,224",893,"1,853",0.11%,"1,853",1.51,
45,COMEDY,Cable,-,Key & Peele,Comedy Series,1,"1,211",0.14%,"1,211",543,"1,326",0.08%,"1,326",1.09,
46,SPIKETV,Cable,-,Cops,"Reality Series, Docs & Special Interests",2,"1,207",0.14%,604,502,"1,255",0.07%,628,1.04,
47,MTV,Cable,-,Catfish: The TV Show,"Docs & Special Interests, Reality Series",1,"1,168",0.14%,"1,168",688,"1,260",0.07%,"1,260",1.08,
48,MSNBC,Cable,News,All In With Chris Hayes,Talk & News,1,"1,092",0.13%,"1,092","1,578","2,570",0.15%,"2,570",2.35,
49,COMEDY,Cable,-,Tosh.0,Comedy Series,2,"1,087",0.13%,544,550,"1,199",0.07%,600,1.10,
50,BRAVO,Cable,-,Courtney Loves Dallas,Reality Series,1,"1,075",0.13%,"1,075",701,"1,549",0.09%,"1,549",1.44,
51,TLC,Cable,-,Gypsy Sisters,Reality Series,2,"1,046",0.12%,523,437,"1,268",0.07%,634,1.21,
52,STZK,Cable,Premium,The Vow,Movies,1,"1,035",0.12%,"1,035",418,"1,109",0.06%,"1,109",1.07,
53,TVGN,Cable,-,Survivor,Reality Series,1,"1,034",0.12%,"1,034",735,"1,506",0.09%,"1,506",1.46,
54,BRAVO,Cable,-,The Millionaire Matchmaker,Reality Series,2,"1,006",0.12%,503,"1,073","1,380",0.08%,690,1.37,
55,LRW,Cable,-,Project Runway,Reality Series,1,"1,006",0.12%,"1,006",861,"1,235",0.07%,"1,235",1.23,
56,FNC,Cable,News,The O'Reilly Factor,Talk & News,1,956,0.11%,956,977,"1,357",0.08%,"1,357",1.42,
57,CNN,Cable,News,Anderson Cooper 360,Talk & News,1,944,0.11%,944,753,"1,377",0.08%,"1,377",1.46,
58,CSS,Cable,Sports,College Basketball,Sports Events,1,903,0.11%,903,"1,382","1,356",0.08%,"1,356",1.50,
59,NIK,Cable,-,Full House,Comedy Series,4,901,0.11%,225,526,952,0.06%,238,1.06,
60,MSNBC,Cable,News,The Rachel Maddow Show,Talk & News,1,887,0.10%,887,"1,877","1,895",0.11%,"1,895",2.14,
61,CNNI,Cable,News,Anderson Cooper 360,Talk & News,1,812,0.10%,812,703,"1,202",0.07%,"1,202",1.48,
62,CSNCH,Cable,Sports,College Basketball,Sports Events,1,804,0.09%,804,"1,459","1,248",0.07%,"1,248",1.55,
63,COMEDY,Cable,-,Chappelle's Show,Comedy Series,1,729,0.09%,729,537,801,0.05%,801,1.10,
64,FUSE,Cable,-,House Party 2,Movies,1,721,0.08%,721,843,792,0.05%,792,1.10,
65,ADSM,Cable,-,Regular Show,"Children & Family, Comedy Series",2,708,0.08%,354,621,761,0.04%,381,1.07,
66,MSNBC,Cable,News,The Last Word With Lawrence O'Donnell,Talk & News,1,630,0.07%,630,988,"1,170",0.07%,"1,170",1.86,
67,SYFY,Cable,-,Batman Begins,Movies,1,599,0.07%,599,412,662,0.04%,662,1.11,
68,UNI,Broadcast,Hispanic,Lo Que la Vida Me Robó,Drama Series,1,598,0.07%,598,658,"1,158",0.07%,"1,158",1.94,
69,ESPNCL,Cable,Sports,Friday Night Lights,Drama Series,2,578,0.07%,289,431,621,0.04%,311,1.07,
70,NFLNET,Cable,Sports,A Football Life,Series,2,566,0.07%,283,471,614,0.04%,307,1.08,
71,MYNETTV,Broadcast,-,The Simpsons,Comedy Series,1,549,0.06%,549,842,571,0.03%,571,1.04,
72,LMN,Cable,-,Dear Secret Santa,Movies,1,535,0.06%,535,514,541,0.03%,541,1.01,
73,DXD,Cable,-,The Suite Life of Zack & Cody,"Comedy Series, Children & Family",3,517,0.06%,172,576,531,0.03%,177,1.03,
74,BET,Cable,-,Real Husbands of Hollywood,"Comedy Series, Reality Series",2,488,0.06%,244,845,521,0.03%,261,1.07,
75,GAC,Cable,-,Farm Kings,Reality Series,2,473,0.06%,237,543,860,0.05%,430,1.82,
76,CW,Broadcast,-,Reign,Drama Series,1,469,0.06%,469,677,871,0.05%,871,1.86,
77,STZK,Cable,Premium,Friday Night Lights,Movies,1,468,0.06%,468,435,487,0.03%,487,1.04,
78,TELE,Broadcast,Hispanic,Santa Diabla,Drama Series,1,451,0.05%,451,972,918,0.05%,918,2.04,
79,ESPNU,Cable,Sports,SEC Storied,Special Programs,1,447,0.05%,447,576,479,0.03%,479,1.07,
80,CBS,Broadcast,-,Two and a Half Men,Comedy Series,1,423,0.05%,423,787,444,0.03%,444,1.05,
81,SHOW,Cable,Premium,Sinister,Movies,1,415,0.05%,415,666,440,0.03%,440,1.06,
82,LOGO,Cable,-,American Psycho,Movies,1,393,0.05%,393,672,432,0.02%,432,1.10,
83,MTV,Cable,-,The Challenge: Rivals II,Reality Series,1,392,0.05%,392,521,416,0.02%,416,1.06,
84,CW,Broadcast,-,Two and a Half Men,Comedy Series,2,383,0.05%,192,828,404,0.02%,202,1.05,
85,HLN,Cable,-,Nancy Grace,Talk & News,1,380,0.04%,380,608,531,0.03%,531,1.40,
86,SOAP,Cable,-,Days of our Lives,Drama Series,1,370,0.04%,370,514,825,0.05%,825,2.23,
87,FX,Cable,-,Anger Management,Comedy Series,1,364,0.04%,364,617,490,0.03%,490,1.35,
88,CBS,Broadcast,-,The Crazy Ones,Comedy Series,1,354,0.04%,354,610,403,0.02%,403,1.14,
89,MYNETTV,Broadcast,-,Two and a Half Men,Comedy Series,1,351,0.04%,351,850,371,0.02%,371,1.06,
90,SUNDANC,Cable,-,The Returned,"Drama Series, Sci-Fi Series",1,350,0.04%,350,615,536,0.03%,536,1.53,
91,E,Cable,-,Keeping Up With the Kardashians,"Reality Series, Docs & Special Interests",2,347,0.04%,174,547,383,0.02%,192,1.10,
92,FOOD,Cable,-,Chopped,"Reality Series, Docs & Special Interests",2,332,0.04%,166,582,362,0.02%,181,1.09,
93,DSC,Cable,-,Fast N' Loud,"Reality Series, Docs & Special Interests",3,311,0.04%,104,443,389,0.02%,130,1.25,
