Rank,Network,Network Type,Network Category,Program,Program/Genre Type,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
1,FOX,Broadcast,-,The X Factor,Reality Series,1,"160,096",18.84%,"160,096",931,"490,763",28.39%,"490,763",3.07,
2,AETV,Cable,-,Duck Dynasty,Reality Series,10,"156,899",18.46%,"15,690",872,"235,724",13.64%,"23,572",1.50,
3,TNT,Cable,-,NBA Basketball,Sports Events,2,"85,056",10.01%,"42,528",706,"169,154",9.79%,"84,577",1.99,
4,CSNBA,Cable,Sports,NBA Basketball,Sports Events,1,"50,508",5.94%,"50,508",666,"100,961",5.84%,"100,961",2.00,
5,ESPN,Cable,Sports,SportsCenter,Sports non-event,1,"30,282",3.56%,"30,282",470,"35,324",2.04%,"35,324",1.17,
6,ESPN,Cable,Sports,College Basketball,Sports Events,1,"27,335",3.22%,"27,335",685,"42,677",2.47%,"42,677",1.56,
7,ESPNEWS,Cable,Sports,SportsCenter,Sports non-event,1,"26,735",3.15%,"26,735",472,"31,016",1.79%,"31,016",1.16,
8,FX,Cable,-,Step Brothers,Movies,1,"21,203",2.49%,"21,203",438,"23,677",1.37%,"23,677",1.12,
9,ABCF,Cable,-,Dr. Seuss' How the Grinch Stole Christmas,Movies,1,"19,466",2.29%,"19,466",453,"21,904",1.27%,"21,904",1.13,
10,NHLNET,Cable,Sports,NHL Hockey,Sports Events,1,"16,125",1.90%,"16,125",560,"27,757",1.61%,"27,757",1.72,
11,CSNDC,Cable,Sports,NHL Hockey,Sports Events,1,"16,099",1.89%,"16,099",528,"31,611",1.83%,"31,611",1.96,
12,FSNOH,Cable,Sports,NHL Hockey,Sports Events,1,"16,099",1.89%,"16,099",528,"31,611",1.83%,"31,611",1.96,
13,CSNCH,Cable,Sports,NHL Hockey,Sports Events,1,"16,099",1.89%,"16,099",528,"31,611",1.83%,"31,611",1.96,
14,CSNPHL,Cable,Sports,NHL Hockey,Sports Events,1,"16,099",1.89%,"16,099",528,"31,611",1.83%,"31,611",1.96,
15,FSNO4,Cable,Sports,NHL Hockey,Sports Events,1,"15,909",1.87%,"15,909",559,"27,432",1.59%,"27,432",1.72,
16,RTNP,Cable,Sports,NHL Hockey,Sports Events,1,"15,909",1.87%,"15,909",559,"27,432",1.59%,"27,432",1.72,
17,FSNO1,Cable,Sports,NHL Hockey,Sports Events,1,"15,909",1.87%,"15,909",559,"27,432",1.59%,"27,432",1.72,
18,NBC,Broadcast,-,The Ellen DeGeneres Show,Talk & News,1,"13,735",1.62%,"13,735",591,"16,256",0.94%,"16,256",1.18,
19,ESPN2,Cable,Sports,Women's College Volleyball,Sports Events,2,"13,630",1.60%,"6,815",540,"21,171",1.22%,"10,586",1.55,
20,VH1,Cable,-,Forrest Gump,Movies,1,"12,181",1.43%,"12,181",454,"14,195",0.82%,"14,195",1.17,
