member_number,date_joined,date_expired,status,member_level,2016 Full Year Member
1,2000,2020,Active,Primary,Yes
2,2009,2020,Active,Primary,Yes
4,2009,2020,Active,Primary,Yes
6,2009,2020,Active,Primary,Yes
69,2009,2019,Active,Primary,Yes
100,2002,2029,Active,Primary,Yes
101,2002,2014,Expired,Primary,No
107,2002,2020,Active,Primary,Yes
118,2002,2017,Active,Primary,Yes
120,2002,2009,Expired,Primary,No
121,2002,2019,Active,Primary,Yes
122,2002,2017,Active,Primary,Yes
124,2002,2017,Active,Primary,Yes
127,2002,2017,Active,Primary,Yes
139,2002,2018,Active,Primary,Yes
148,2002,2012,Expired,Primary,No
159,2002,2014,Expired,Primary,No
162,2002,2016,Expired,Primary,Yes
164,2002,2018,Active,Primary,Yes
167,2002,2017,Active,Primary,Yes
183,2002,2012,Expired,Primary,No
186,2002,2014,Expired,Primary,No
188,2002,2020,Active,Primary,Yes
191,2002,2013,Expired,Primary,No
194,2003,2013,Expired,Primary,No
219,2003,2019,Active,Primary,Yes
221,2003,2020,Active,Primary,Yes
226,2003,2010,Expired,Primary,No
227,2003,2019,Active,Primary,Yes
229,2003,2017,Active,Primary,Yes
235,2003,2010,Expired,Primary,No
238,2003,2019,Active,Primary,Yes
241,2003,2019,Active,Primary,Yes
247,2003,2010,Expired,Primary,No
252,2003,2011,Expired,Primary,No
253,2003,2012,Expired,Primary,No
255,2003,2017,Active,Primary,Yes
259,2003,2016,Expired,Primary,Yes
267,2003,2010,Expired,Primary,No
269,2003,2017,Active,Primary,Yes
271,2003,2020,Active,Primary,Yes
273,2003,2010,Expired,Primary,No
278,2003,2014,Expired,Primary,No
289,2003,2020,Active,Primary,Yes
292,2003,2010,Expired,Primary,No
297,2003,2017,Active,Primary,Yes
304,2003,2015,Expired,Primary,No
323,2003,2015,Expired,Primary,No
325,2003,2017,Active,Primary,Yes
331,2003,2013,Expired,Primary,No
337,2003,2017,Active,Primary,Yes
357,2003,2017,Active,Primary,Yes
359,2003,2012,Expired,Primary,No
365,2003,2017,Active,Primary,Yes
366,2003,2013,Expired,Primary,No
370,2003,2017,Active,Primary,Yes
373,2003,2013,Expired,Primary,No
375,2003,2016,Expired,Primary,Yes
383,2003,2016,Expired,Primary,Yes
397,2003,2017,Active,Primary,Yes
404,2003,2011,Expired,Primary,No
409,2003,2018,Active,Primary,Yes
413,2003,2014,Expired,Primary,No
423,2003,2015,Expired,Primary,No
430,2003,2017,Active,Primary,Yes
435,2003,2016,Expired,Primary,Yes
437,2003,2012,Expired,Primary,No
447,2003,2014,Expired,Primary,No
452,2003,2010,Expired,Primary,No
457,2003,2016,Expired,Primary,Yes
466,2003,2017,Active,Primary,Yes
484,2003,2013,Expired,Primary,No
485,2003,2017,Active,Primary,Yes
489,2003,2014,Expired,Primary,No
491,2003,2010,Expired,Primary,No
496,2003,2013,Expired,Primary,No
498,2003,2017,Active,Primary,Yes
505,2003,2017,Active,Primary,Yes
518,2003,2013,Expired,Primary,No
519,2003,2020,Active,Primary,Yes
531,2003,2011,Expired,Primary,No
538,2003,2012,Expired,Primary,No
539,2003,2019,Active,Primary,Yes
541,2003,2015,Expired,Primary,No
543,2003,2010,Expired,Primary,No
549,2003,2016,Active,Primary,Yes
552,2003,2010,Expired,Primary,No
554,2003,2013,Expired,Primary,No
556,2003,2017,Active,Primary,Yes
560,2003,2013,Expired,Primary,No
565,2003,2016,Expired,Primary,Yes
570,2003,2017,Active,Primary,Yes
584,2003,2019,Active,Primary,Yes
586,2003,2013,Expired,Primary,No
597,2003,2017,Active,Primary,Yes
598,2003,2020,Active,Primary,Yes
601,2003,2017,Active,Primary,Yes
605,2004,2017,Active,Primary,Yes
610,2004,2017,Active,Primary,Yes
615,2004,2009,Expired,Primary,No
617,2004,2010,Expired,Primary,No
622,2004,2011,Expired,Primary,No
627,2004,2010,Expired,Primary,No
636,2004,2017,Active,Primary,Yes
643,2004,2011,Expired,Primary,No
664,2004,2015,Expired,Primary,No
677,2004,2010,Expired,Primary,No
684,2004,2017,Active,Primary,Yes
686,2004,2010,Expired,Primary,No
692,2004,2011,Expired,Primary,No
702,2004,2017,Active,Primary,Yes
717,2004,2010,Expired,Primary,No
719,2004,2012,Expired,Primary,No
721,2004,2017,Active,Primary,Yes
725,2004,2011,Expired,Primary,No
726,2004,2010,Expired,Primary,No
730,2004,2015,Expired,Primary,No
734,2004,2018,Active,Primary,Yes
735,2004,2018,Active,Primary,Yes
740,2004,2016,Expired,Primary,Yes
744,2004,2020,Active,Primary,Yes
748,2004,2012,Expired,Primary,No
749,2004,2017,Active,Primary,Yes
752,2004,2012,Expired,Primary,No
757,2004,2010,Expired,Primary,No
777,2004,2017,Active,Primary,Yes
782,2004,2010,Expired,Primary,No
784,2004,2017,Active,Primary,Yes
786,2004,2012,Expired,Primary,No
788,2004,2016,Expired,Primary,Yes
790,2004,2012,Expired,Primary,No
795,2004,2017,Active,Primary,Yes
796,2004,2010,Expired,Primary,No
799,2004,2015,Expired,Primary,No
800,2004,2013,Expired,Primary,No
803,2004,2014,Expired,Primary,No
811,2004,2012,Expired,Primary,No
812,2004,2017,Active,Primary,Yes
829,2004,2016,Active,Primary,Yes
832,2004,2017,Active,Primary,Yes
839,2004,2017,Active,Primary,Yes
847,2004,2017,Active,Primary,Yes
848,2004,2017,Active,Primary,Yes
853,2004,2017,Active,Primary,Yes
864,2004,2012,Expired,Primary,No
867,2004,2010,Expired,Primary,No
868,2004,2010,Expired,Primary,No
869,2004,2017,Active,Primary,Yes
873,2004,2010,Expired,Primary,No
877,2004,2015,Expired,Primary,No
880,2004,2016,Expired,Primary,Yes
890,2004,2015,Expired,Primary,No
900,2004,2014,Expired,Primary,No
902,2004,2012,Expired,Primary,No
903,2004,2017,Active,Primary,Yes
904,2004,2017,Active,Primary,Yes
927,2004,2014,Expired,Primary,No
932,2004,2020,Active,Primary,Yes
936,2004,2014,Expired,Primary,No
949,2004,2014,Expired,Primary,No
954,2004,2017,Active,Primary,Yes
967,2004,2014,Expired,Primary,No
980,2004,2015,Expired,Primary,No
994,2004,2010,Expired,Primary,No
995,2004,2016,Expired,Primary,Yes
996,2004,2017,Active,Primary,Yes
1035,2004,2017,Active,Primary,Yes
1063,2004,2016,Expired,Primary,Yes
1075,2004,2017,Active,Primary,Yes
1080,2004,2011,Expired,Primary,No
1096,2004,2017,Active,Primary,Yes
1103,2004,2012,Expired,Primary,No
1105,2004,2015,Expired,Primary,No
