Category: All categories

Month,park slope parents: (New York NY)
2004-01,30
2004-02,34
2004-03,38
2004-04,59
2004-05,52
2004-06,52
2004-07,27
2004-08,33
2004-09,32
2004-10,36
2004-11,25
2004-12,21
2005-01,26
2005-02,41
2005-03,40
2005-04,40
2005-05,25
2005-06,23
2005-07,54
2005-08,62
2005-09,43
2005-10,53
2005-11,65
2005-12,55
2006-01,50
2006-02,52
2006-03,30
2006-04,85
2006-05,45
2006-06,86
2006-07,56
2006-08,84
2006-09,68
2006-10,52
2006-11,57
2006-12,37
2007-01,58
2007-02,80
2007-03,71
2007-04,54
2007-05,100
2007-06,100
2007-07,85
2007-08,63
2007-09,78
2007-10,48
2007-11,55
2007-12,45
2008-01,70
2008-02,56
2008-03,65
2008-04,46
2008-05,73
2008-06,54
2008-07,60
2008-08,81
2008-09,52
2008-10,77
2008-11,40
2008-12,54
2009-01,65
2009-02,57
2009-03,58
2009-04,67
2009-05,60
2009-06,47
2009-07,51
2009-08,61
2009-09,51
2009-10,56
2009-11,52
2009-12,59
2010-01,61
2010-02,46
2010-03,46
2010-04,59
2010-05,55
2010-06,43
2010-07,59
2010-08,52
2010-09,57
2010-10,53
2010-11,45
2010-12,69
2011-01,50
2011-02,44
2011-03,40
2011-04,42
2011-05,50
2011-06,45
2011-07,35
2011-08,47
2011-09,41
2011-10,45
2011-11,41
2011-12,35
2012-01,50
2012-02,66
2012-03,62
2012-04,50
2012-05,39
2012-06,51
2012-07,47
2012-08,40
2012-09,47
2012-10,41
2012-11,50
2012-12,33
2013-01,51
2013-02,48
2013-03,36
2013-04,45
2013-05,47
2013-06,55
2013-07,51
2013-08,45
2013-09,41
2013-10,44
2013-11,40
2013-12,29
2014-01,46
2014-02,32
2014-03,44
2014-04,35
2014-05,37
2014-06,28
2014-07,33
2014-08,35
2014-09,31
2014-10,30
2014-11,24
2014-12,19
2015-01,30
2015-02,28
2015-03,36
2015-04,29
2015-05,26
2015-06,22
2015-07,30
2015-08,28
2015-09,26
2015-10,29
2015-11,26
2015-12,21
2016-01,24
2016-02,21
2016-03,28
2016-04,23
2016-05,22
2016-06,22
2016-07,24
2016-08,32
2016-09,26
2016-10,22
2016-11,19
2016-12,17
