Week,Park Slope Parents: (New York)
12/11/11,35
12/18/11,37
12/25/11,12
1/1/12,56
1/8/12,46
1/15/12,24
1/22/12,38
1/29/12,39
2/5/12,83
2/12/12,100
2/19/12,50
2/26/12,46
3/4/12,43
3/11/12,61
3/18/12,47
3/25/12,26
4/1/12,81
4/8/12,46
4/15/12,36
4/22/12,33
4/29/12,72
5/6/12,23
5/13/12,41
5/20/12,44
5/27/12,36
6/3/12,28
6/10/12,54
6/17/12,64
6/24/12,27
7/1/12,41
7/8/12,30
7/15/12,35
7/22/12,17
7/29/12,44
8/5/12,41
8/12/12,52
8/19/12,32
8/26/12,34
9/2/12,29
9/9/12,41
9/16/12,60
9/23/12,38
9/30/12,57
10/7/12,34
10/14/12,39
10/21/12,41
10/28/12,40
11/4/12,41
11/11/12,54
11/18/12,28
11/25/12,30
12/2/12,27
12/9/12,48
12/16/12,32
12/23/12,11
12/30/12,35
1/6/13,51
1/13/13,43
1/20/13,37
1/27/13,67
2/3/13,51
2/10/13,26
2/17/13,30
2/24/13,40
3/3/13,29
3/10/13,15
3/17/13,15
3/24/13,47
3/31/13,41
4/7/13,30
4/14/13,40
4/21/13,34
4/28/13,22
5/5/13,28
5/12/13,25
5/19/13,25
5/26/13,46
6/2/13,33
6/9/13,48
6/16/13,43
6/23/13,19
6/30/13,53
7/7/13,49
7/14/13,52
7/21/13,27
7/28/13,63
8/4/13,45
8/11/13,64
8/18/13,40
8/25/13,27
9/1/13,15
9/8/13,58
9/15/13,38
9/22/13,35
9/29/13,52
10/6/13,51
10/13/13,34
10/20/13,28
10/27/13,48
11/3/13,43
11/10/13,25
11/17/13,22
11/24/13,26
12/1/13,43
12/8/13,15
12/15/13,21
12/22/13,19
12/29/13,40
1/5/14,42
1/12/14,39
1/19/14,29
1/26/14,21
2/2/14,19
2/9/14,16
2/16/14,48
2/23/14,34
3/2/14,41
3/9/14,36
3/16/14,52
3/23/14,22
3/30/14,34
4/6/14,35
4/13/14,34
4/20/14,33
4/27/14,29
5/4/14,32
5/11/14,35
5/18/14,43
5/25/14,27
6/1/14,23
6/8/14,41
6/15/14,30
6/22/14,20
6/29/14,39
7/6/14,20
7/13/14,26
7/20/14,20
7/27/14,40
8/3/14,39
8/10/14,40
8/17/14,38
8/24/14,21
8/31/14,24
9/7/14,23
9/14/14,32
9/21/14,29
9/28/14,22
10/5/14,25
10/12/14,19
10/19/14,22
10/26/14,28
11/2/14,17
11/9/14,23
11/16/14,17
11/23/14,27
11/30/14,16
12/7/14,36
12/14/14,32
12/21/14,17
12/28/14,19
1/4/15,50
1/11/15,17
1/18/15,25
1/25/15,33
2/1/15,21
2/8/15,24
2/15/15,23
2/22/15,19
3/1/15,33
3/8/15,17
3/15/15,23
3/22/15,28
3/29/15,12
4/5/15,6
4/12/15,27
4/19/15,32
4/26/15,15
5/3/15,18
5/10/15,30
5/17/15,18
5/24/15,28
5/31/15,24
6/7/15,21
6/14/15,36
6/21/15,12
6/28/15,37
7/5/15,12
7/12/15,39
7/19/15,27
7/26/15,27
8/2/15,15
8/9/15,32
8/16/15,35
8/23/15,26
8/30/15,17
9/6/15,22
9/13/15,25
9/20/15,11
9/27/15,19
10/4/15,22
10/11/15,30
10/18/15,14
10/25/15,38
11/1/15,19
11/8/15,47
11/15/15,20
11/22/15,27
11/29/15,45
12/6/15,16
12/13/15,23
12/20/15,20
12/27/15,33
1/3/16,14
1/10/16,26
1/17/16,14
1/24/16,33
1/31/16,42
2/7/16,8
2/14/16,27
2/21/16,28
2/28/16,25
3/6/16,10
3/13/16,21
3/20/16,16
3/27/16,22
4/3/16,30
4/10/16,20
4/17/16,19
4/24/16,12
5/1/16,18
5/8/16,17
5/15/16,14
5/22/16,20
5/29/16,25
6/5/16,13
6/12/16,30
6/19/16,17
6/26/16,20
7/3/16,20
7/10/16,9
7/17/16,22
7/24/16,31
7/31/16,38
8/7/16,22
8/14/16,37
8/21/16,21
8/28/16,31
9/4/16,34
9/11/16,27
9/18/16,19
9/25/16,32
10/2/16,8
10/9/16,30
10/16/16,32
10/23/16,27
10/30/16,32
11/6/16,23
11/13/16,21
11/20/16,26
11/27/16,31
