,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
0,2106,50613,2015,10367,146326.22,9731.85
1,2106,50613,2016,2220,30523.75,2117.75
2,2113,50543,2015,671,9310.22,659.85
3,2113,50543,2016,159,2065.9,177.0
4,2130,50703,2015,7430,111871.43,6891.37
5,2130,50703,2016,1726,27856.11,1556.9
6,2152,50469,2015,573,7721.08,633.37
7,2152,50469,2016,136,1376.43,140.13
8,2178,52172,2015,1928,24324.18,1917.12
9,2178,52172,2016,480,5588.5,520.8
10,2190,50314,2015,11111,121689.06,6322.17
11,2190,50314,2016,2567,34515.69,1517.46
12,2191,52632,2015,7696,125093.49,8053.32
13,2191,52632,2016,2610,47338.2,2928.12
14,2200,50583,2015,1668,22811.55,1817.24
15,2200,50583,2016,262,4174.87,318.78
16,2205,51632,2015,1882,24681.39,1556.91
17,2228,50273,2015,1312,17462.07,1367.65
18,2228,50273,2016,229,3086.38,208.85
19,2233,51360,2015,2253,29553.34,2480.69
20,2233,51360,2016,478,6522.65,477.62
21,2238,50009,2015,788,11762.56,705.75
22,2238,50009,2016,219,4197.66,198.75
23,2248,50312,2015,3401,67682.06,2815.35
24,2248,50312,2016,714,14524.18,562.76
25,2285,52240,2015,4552,76927.11,3860.35
26,2285,52240,2016,747,12580.69,672.5
27,2290,50588,2015,4053,56514.43,3626.2
28,2290,50588,2016,1007,12846.93,868.68
29,2327,50841,2015,754,10245.14,822.28
30,2327,50841,2016,201,2196.57,159.1
31,2353,52136,2015,3771,54000.55,4504.65
32,2353,52136,2016,388,5235.86,452.0
33,2367,51601,2015,392,5010.83,346.75
34,2413,52001,2015,6298,90065.02,6261.29
35,2413,52001,2016,1584,23355.03,1611.0
36,2445,51560,2015,574,7189.48,571.79
37,2445,51560,2016,133,1423.37,120.12
38,2448,50125,2015,1257,17740.7,1245.53
39,2448,50125,2016,428,6738.18,413.5
40,2459,50115,2015,654,7352.33,607.24
41,2459,50115,2016,115,1824.69,141.75
42,2460,50441,2015,2549,33731.76,2782.46
43,2460,50441,2016,516,6995.86,611.58
44,2465,52003,2015,1934,25831.8,1713.2
45,2465,52003,2016,370,5383.76,348.83
46,2475,50597,2015,719,10681.07,1044.94
47,2475,50597,2016,308,4790.07,473.24
48,2478,50009,2015,1110,19840.65,1038.0
49,2478,50009,2016,240,4462.62,225.0
50,2487,52205,2015,2259,28900.96,2547.85
51,2498,50606,2015,251,2259.67,230.12
52,2498,50606,2016,78,780.34,64.27
53,2500,50010,2015,10676,149121.63,10039.15
54,2500,50010,2016,2407,33836.19,2164.55
55,2501,50010,2015,10924,144833.66,9959.4
56,2501,50010,2016,2345,29980.54,2093.95
57,2502,50021,2015,10249,150094.01,10698.09
58,2502,50021,2016,1329,19017.37,1287.69
59,2505,50036,2015,5221,70810.55,5593.45
60,2505,50036,2016,1137,14605.93,1110.83
61,2506,52601,2015,9472,143431.66,9022.58
62,2506,52601,2016,2344,33041.43,2277.78
63,2507,52601,2015,3031,29679.78,2542.23
64,2507,52601,2016,650,6147.99,502.0
65,2508,52405,2015,7880,115732.8,7862.83
66,2508,52405,2016,1388,23254.14,1479.89
67,2509,52404,2015,4103,49849.04,3810.9
68,2509,52404,2016,877,9749.85,814.19
69,2512,52240,2015,27692,419746.83,25921.88
70,2512,52240,2016,7987,112518.79,7476.06
71,2513,52240,2015,4812,60347.23,4162.64
72,2513,52240,2016,1469,17970.36,1284.99
73,2514,50129,2015,1275,13817.52,1163.28
74,2514,50129,2016,395,5522.69,330.61
75,2515,50401,2015,8062,120977.04,8866.56
76,2515,50401,2016,1558,22169.46,1783.31
77,2517,50208,2015,5549,76238.42,5890.95
78,2517,50208,2016,1181,16165.27,1118.05
79,2518,51566,2015,2740,38584.21,3128.36
80,2518,51566,2016,495,6279.24,434.02
81,2521,50265,2015,7944,107379.85,7775.4
82,2521,50265,2016,1836,25970.12,1617.85
83,2522,51360,2015,7582,112353.87,7637.09
84,2522,51360,2016,1255,17305.66,1282.1
85,2523,52544,2015,3007,35476.85,3183.06
86,2523,52544,2016,860,11888.36,926.8
87,2524,52001,2015,7395,103507.58,6728.19
88,2524,52001,2016,1924,25920.76,1669.56
89,2527,50315,2015,4696,56331.05,4392.49
90,2527,50315,2016,960,10667.29,816.55
91,2528,50315,2015,9994,121199.45,7700.05
92,2528,50315,2016,2017,17477.28,1205.05
93,2529,52405,2015,3151,35599.6,3709.64
94,2529,52405,2016,701,6963.62,623.52
95,2532,50317,2015,4666,53207.99,4254.25
96,2532,50317,2016,995,11061.03,891.1
97,2535,50265,2015,4678,70392.17,4868.03
98,2535,50265,2016,865,11673.67,858.03
99,2536,50317,2015,4933,68373.24,4680.93
100,2536,50317,2016,1003,13359.72,1033.64
101,2538,50702,2015,3958,55128.11,3832.0
102,2538,50702,2016,1217,16386.69,1168.84
103,2539,50126,2015,4202,65501.63,4703.26
104,2539,50126,2016,924,14027.28,1129.18
105,2543,52501,2015,4620,61929.58,4136.87
106,2543,52501,2016,981,12512.07,814.06
107,2544,50158,2015,7894,121077.73,8029.41
108,2544,50158,2016,2041,30504.59,2183.61
109,2545,52245,2015,3402,50195.78,3097.6
110,2545,52245,2016,596,7880.18,512.06
111,2548,50009,2015,7391,97735.72,6623.22
112,2548,50009,2016,2403,29272.08,2262.15
113,2549,50125,2015,5449,75671.14,5866.03
114,2549,50125,2016,1213,16286.12,1282.2
115,2550,50213,2015,1508,19825.77,1498.05
116,2550,50213,2016,272,3763.08,257.0
117,2551,50049,2015,2538,32477.18,2362.04
118,2551,50049,2016,725,10015.29,670.85
119,2552,52404,2015,8858,103607.79,8003.31
120,2552,52404,2016,1622,20516.91,1631.27
121,2553,50801,2015,1980,26164.9,1885.08
122,2553,50801,2016,510,6997.28,493.5
123,2554,52802,2015,2326,22609.38,2278.8
124,2554,52802,2016,471,4865.08,479.25
125,2555,52632,2015,6353,84398.07,5942.96
126,2555,52632,2016,1094,17551.62,920.22
127,2556,51334,2015,2919,40672.86,3221.51
128,2556,51334,2016,489,7278.12,508.83
129,2558,52641,2015,5685,77222.04,6202.32
130,2558,52641,2016,1511,20680.81,1197.79
131,2559,52531,2015,910,12022.75,879.0
132,2559,52531,2016,185,2031.14,206.5
133,2560,52302,2015,7623,116129.54,8342.02
134,2560,52302,2016,1367,18659.71,1313.75
135,2561,50321,2015,10188,157134.87,10648.53
136,2561,50321,2016,1903,25738.32,1886.64
137,2562,50501,2015,4087,54966.77,5348.2
138,2562,50501,2016,1109,14998.9,1492.75
139,2564,50701,2015,3618,48879.54,3981.03
140,2564,50701,2016,772,10800.62,776.0
141,2565,51301,2015,5281,71542.43,5189.44
142,2565,51301,2016,1232,16250.33,1168.59
