,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
0,50001,130858.734461,12.9928913747,,,,,
1,50002,139878.456396,13.9361681331,2.0,279.202219,0.00716326685068,43680.0,14.9840485747
17,50003,624315.459855,14.0072951125,3.0,298.086291,0.0100641998327,452387.76,13.9431164633
44,50005,72064.3464651,10.3133968307,,,,,
45,50006,162441.673374,15.5345025873,2.0,317.74515,0.00629435256526,113657.52,14.205627381
62,50007,64840.5663985,17.2878421774,,,,,
63,50008,-44801.3486087,45.0648128462,,,,,
64,50009,1068535.98268,14.7771104722,9.0,65.207113,0.13802175232,2867551.34,14.7863753274
169,50014,2094695.09201,13.5796631287,4.0,144.826088,0.0276193333345,415894.63,14.0152808636
206,50021,2387995.2852,13.3134696714,12.0,66.725924,0.179840147287,1661771.85,13.742054749
343,50022,887171.121518,13.4306240044,6.0,431.883311,0.0138926414779,1104793.05,12.9483326866
405,50025,332116.197256,14.043131431,2.0,507.431421,0.00394141930758,94061.94,11.3736679504
418,50026,275752.506424,12.9405231824,,,,,
419,50027,227466.978257,9.37758700876,,,,,
420,50028,471468.111443,12.3084706741,2.0,114.933651,0.0174013440154,13951.2,14.0218702259
432,50029,85697.9908063,12.6971477462,,,,,
433,50032,854658.728575,11.779614171,,,,,
434,50033,384665.775576,11.5626298347,1.0,0.288201,3.46980059056,54984.48,12.8669231417
446,50034,-155965.845146,20.2790546922,,,,,
447,50035,176700.728404,18.2683778809,1.0,116.89815,0.00855445531003,115970.76,14.2710760643
459,50036,1610147.18238,13.069566892,9.0,505.063491,0.0178195418207,1673319.39,12.7532083478
556,50038,447383.58824,14.969851624,,,,,
557,50039,19140.7509773,3.08559854613,,,,,
558,50041,132584.815732,7.91323796334,,,,,
559,50042,57133.5375416,14.1092810248,,,,,
560,50044,51387.3261138,8.18404003323,1.0,118.473056,0.00844073778261,16442.46,8.82579710145
569,50046,266887.964991,15.8675470351,1.0,119.973352,0.00833518429993,12828.51,12.9041281912
578,50047,685264.775072,13.6851688386,2.0,152.159628,0.01314409102,275648.7,11.1455216141
596,50048,138767.069953,11.4089834303,1.0,226.57327,0.00441358329692,40606.5,15.7879082426
606,50049,524187.53705,11.7365630521,2.0,523.124656,0.0038231805308,436927.38,14.0045405331
629,50051,-101136.464214,-147.48551537,,,,,
630,50052,-229197.282347,9.86700791261,,,,,
631,50054,403787.039405,12.6081485565,2.0,152.872278,0.013082816755,148507.38,11.8595373493
654,50055,207335.336686,10.6035449503,,,,,
655,50056,385548.916853,15.6491776781,1.0,149.192377,0.00670275532911,30421.8,10.5083937824
665,50057,45089.8763026,6.67719155211,,,,,
666,50058,222751.052275,15.6566737121,2.0,364.231967,0.0054910062301,76824.2,12.379120038
678,50061,419262.309071,18.3833568623,1.0,81.699043,0.0122400454556,8869.92,12.9677192982
682,50062,58278.904487,7.14809558104,,,,,
683,50063,297139.031528,12.3986353293,,,,,
684,50064,52026.2997461,6.26856258281,,,,,
685,50065,8509.63373225,9.86644132172,,,,,
686,50066,-126288.868143,14.4427632806,,,,,
687,50067,169153.989582,9.51290948763,,,,,
688,50068,-32466.6813279,41.7215347382,,,,,
689,50069,350383.188134,11.3029547089,2.0,13.262492,0.150801221972,90623.04,12.2104514293
709,50071,-27632.9539795,6.48853900892,1.0,293.114182,0.00341163976842,12749.1,14.59375
716,50072,396863.682716,13.2692695365,1.0,228.908869,0.00436855070041,28546.5,10.4577426091
726,50073,379123.568811,15.2007103395,,,,,
727,50074,59221.3404693,-6.38758060982,,,,,
728,50075,436621.301775,16.3092888383,1.0,119.369391,0.00837735697253,74736.24,12.198170672
740,50076,-27918.6772722,19.8758830075,1.0,290.651382,0.00344054789321,22957.44,10.5116483516
748,50078,40599.9739361,6.5767016868,,,,,
749,50101,-77679.1005296,-14.54006632,,,,,
750,50102,-152478.598288,12.920751127,,,,,
751,50103,-75177.5374548,9.09261190584,,,,,
752,50104,17084.5523986,-1.85713334319,,,,,
753,50105,247676.136453,25.3373028876,,,,,
754,50106,136321.261031,14.5947836117,,,,,
755,50107,17186.6626996,-873.862646033,1.0,130.433186,0.00766676051293,26043.21,11.2814424951
764,50108,100566.85297,18.593145338,,,,,
765,50109,186550.434504,22.3073188053,1.0,62.757235,0.0159344177608,45244.2,11.5527331781
777,50111,1202828.88966,14.5646462997,6.0,71.484606,0.0839341549984,1345135.07,13.9660789182
