Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+
50001,615,"43,611","17,803",594,3,1,0,0,2,15,11,38.0,32,138,30,22,46,138,99,37,18,37,12,6,74.6%,103,"$98,100",242,192,24,216,174,158,12,42,34,2.85,3.21,711,88.8%,9.7%
50002,"1,339","32,500","20,580","1,323",0,1,5,0,2,8,14,42.5,65,234,33,52,153,189,173,66,71,127,121,55,63.6%,325,"$56,200",637,450,125,575,370,333,30,205,185,2.25,2.86,"1,232",87.6%,11.2%
50003,"5,835","47,649","22,429","5,733",8,6,22,0,23,43,67,38.5,356,1284,183,182,613,1032,951,261,229,353,268,123,71.7%,"1,200","$110,500","2,322","1,709",525,"2,234","1,615","1,390",162,619,529,2.58,3.08,"5,816",91.0%,24.0%
50005,851,"41,786","15,267",840,0,5,4,0,0,2,6,38.0,60,181,25,26,106,128,117,60,37,74,32,5,68.0%,200,"$58,600",334,262,58,320,251,208,28,69,56,2.66,2.98,917,80.8%,12.7%
50006,"1,959","36,494","16,957","1,930",0,1,3,0,21,4,58,37.7,124,404,92,65,217,322,245,95,92,174,106,23,67.9%,466,"$50,900",823,586,181,767,547,477,43,220,194,2.55,3.09,"1,939",88.9%,14.8%
50007,413,"68,906","22,438",412,0,0,1,0,0,0,0,37.3,31,98,8,6,44,86,68,24,15,20,10,3,70.8%,125,"$146,800",143,122,16,138,128,115,9,10,8,2.99,3.11,452,93.6%,27.0%
50008,939,"32,500","14,644",934,0,0,1,0,1,3,5,39.6,49,195,31,39,102,125,129,47,45,89,64,24,64.9%,184,"$29,700",462,307,71,378,271,218,38,107,99,2.48,2.99,974,87.4%,6.3%
50009,"12,008","51,587","20,917","11,543",99,42,60,42,88,134,206,33.0,1005,2628,465,476,1859,2094,1646,509,389,554,301,82,79.2%,"2,871","$118,600","4,577","3,276","1,168","4,444","3,375","2,682",574,"1,069",857,2.68,3.09,"11,745",93.0%,23.0%
50010,"24,991","37,511","21,678","22,020",619,42,"1,810",11,135,354,433,31.2,1517,3453,1263,3314,4316,3259,3103,982,858,1480,1037,409,72.5%,"4,859","$125,300","11,234","5,913","4,884","10,797","6,167","5,259",652,"4,630","3,097",2.27,2.83,"24,707",94.0%,53.1%
50014,"29,541","37,289","18,236","25,954",744,45,"2,136",11,271,380,633,21.9,902,2506,8501,7570,3213,2214,2095,719,510,686,435,190,67.4%,"3,125","$159,100","9,049","3,663","5,073","8,736","3,905","3,340",364,"4,831","2,324",2.39,2.92,"21,131",96.8%,63.8%
