,zip,primary_city,county,state,County#
0,force_zip_str,CITY,COUNTY,IA,0
1,50001,ACKWORTH,Warren,IA,91
2,50002,ADAIR,Guthrie,IA,39
3,50003,ADEL,Dallas,IA,25
4,50005,ALBION,Marshall,IA,64
5,50006,ALDEN,Hardin,IA,42
6,50007,ALLEMAN,Polk,IA,77
7,50008,ALLERTON,Wayne,IA,93
8,50009,ALTOONA,Polk,IA,77
9,50010,AMES,Story,IA,85
10,50011,AMES,Story,IA,85
11,50012,AMES,Story,IA,85
12,50013,AMES,Story,IA,85
13,50014,AMES,Story,IA,85
14,50020,ANITA,Cass,IA,15
15,50021,ANKENY,Polk,IA,77
16,50022,ATLANTIC,Cass,IA,15
17,50023,ANKENY,Polk,IA,77
18,50025,AUDUBON,Audubon,IA,5
19,50026,BAGLEY,Guthrie,IA,39
20,50027,BARNES CITY,Mahaska,IA,62
21,50028,BAXTER,Jasper,IA,50
22,50029,BAYARD,Guthrie,IA,39
23,50031,BEAVER,Boone,IA,8
24,50032,BERWICK,Polk,IA,77
25,50033,BEVINGTON,Warren,IA,91
26,50034,BLAIRSBURG,Hamilton,IA,40
27,50035,BONDURANT,Polk,IA,77
28,50036,BOONE,Boone,IA,8
29,50037,BOONE,Boone,IA,8
30,50038,BOONEVILLE,Dallas,IA,25
31,50039,BOUTON,Dallas,IA,25
32,50040,BOXHOLM,Boone,IA,8
33,50041,BRADFORD,Franklin,IA,35
34,50042,BRAYTON,Audubon,IA,5
35,50043,BUCKEYE,Hardin,IA,42
36,50044,BUSSEY,Marion,IA,63
37,50046,CAMBRIDGE,Story,IA,85
38,50047,CARLISLE,Warren,IA,91
39,50048,CASEY,Guthrie,IA,39
40,50049,CHARITON,Lucas,IA,59
41,50050,CHURDAN,Greene,IA,37
42,50051,CLEMONS,Marshall,IA,64
43,50052,CLIO,Wayne,IA,93
44,50054,COLFAX,Jasper,IA,50
45,50055,COLLINS,Story,IA,85
46,50056,COLO,Story,IA,85
47,50057,COLUMBIA,Marion,IA,63
48,50058,COON RAPIDS,Carroll,IA,14
49,50059,COOPER,Greene,IA,37
50,50060,CORYDON,Wayne,IA,93
51,50061,CUMMING,Warren,IA,91
52,50062,MELCHER-DALLAS,Marion,IA,63
53,50063,DALLAS CENTER,Dallas,IA,25
54,50064,DANA,Greene,IA,37
55,50065,DAVIS CITY,Decatur,IA,27
56,50066,DAWSON,Dallas,IA,25
57,50067,DECATUR,Decatur,IA,27
58,50068,DERBY,Lucas,IA,59
59,50069,DE SOTO,Dallas,IA,25
60,50070,DEXTER,Dallas,IA,25
61,50071,DOWS,Wright,IA,99
62,50072,EARLHAM,Madison,IA,61
63,50073,ELKHART,Polk,IA,77
64,50074,ELLSTON,Ringgold,IA,80
65,50075,ELLSWORTH,Hamilton,IA,40
66,50076,EXIRA,Audubon,IA,5
67,50078,FERGUSON,Marshall,IA,64
68,50099,BOONE,Boone,IA,8
69,50101,GALT,Wright,IA,99
70,50102,GARDEN CITY,Hardin,IA,42
71,50103,GARDEN GROVE,Decatur,IA,27
72,50104,GIBSON,Keokuk,IA,54
73,50105,GILBERT,Story,IA,85
74,50106,GILMAN,Marshall,IA,64
75,50107,GRAND JUNCTION,Greene,IA,37
76,50108,GRAND RIVER,Decatur,IA,27
77,50109,GRANGER,Polk,IA,77
78,50110,GRAY,Audubon,IA,5
79,50111,GRIMES,Polk,IA,77
80,50112,GRINNELL,Poweshiek,IA,79
81,50115,GUTHRIE CENTER,Guthrie,IA,39
82,50116,HAMILTON,Marion,IA,63
83,50117,HAMLIN,Audubon,IA,5
84,50118,HARTFORD,Warren,IA,91
85,50119,HARVEY,Marion,IA,63
86,50120,HAVERHILL,Marshall,IA,64
87,50122,HUBBARD,Hardin,IA,42
88,50123,HUMESTON,Wayne,IA,93
89,50124,HUXLEY,Story,IA,85
90,50125,INDIANOLA,Warren,IA,91
91,50126,IOWA FALLS,Hardin,IA,42
92,50127,IRA,Jasper,IA,50
93,50128,JAMAICA,Guthrie,IA,39
94,50129,JEFFERSON,Greene,IA,37
95,50130,JEWELL,Hamilton,IA,40
96,50131,JOHNSTON,Polk,IA,77
97,50132,KAMRAR,Hamilton,IA,40
98,50133,KELLERTON,Ringgold,IA,80
99,50134,KELLEY,Story,IA,85
100,50135,KELLOGG,Jasper,IA,50
101,50136,KESWICK,Keokuk,IA,54
102,50137,KILLDUFF,Jasper,IA,50
103,50138,KNOXVILLE,Marion,IA,63
104,50139,LACONA,Warren,IA,91
105,50140,LAMONI,Decatur,IA,27
106,50141,LAUREL,Marshall,IA,64
107,50142,LE GRAND,Marshall,IA,64
108,50143,LEIGHTON,Mahaska,IA,62
109,50144,LEON,Decatur,IA,27
