,Zip Code,Stores per Zip,Store Number,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,21-54 years,21+ years,P21-54/Stores/Zip,P21+/Stores/Zip
0,50002,4,4417,2015,294,3482.94,225.0,50002,1339.0,32500.0,20580.0,1323.0,0.0,1.0,5.0,0.0,2.0,8.0,14.0,42.5,65.0,234.0,33.0,52.0,153.0,189.0,173.0,66.0,71.0,127.0,121.0,55.0,63.6,325.0,56200.0,637.0,450.0,125.0,575.0,370.0,333.0,30.0,205.0,185.0,2.25,2.86,1232.0,87.6,11.2,567.0,1007.0,141.75,251.75
2,50002,4,4753,2015,204,1475.1,110.85,50002,1339.0,32500.0,20580.0,1323.0,0.0,1.0,5.0,0.0,2.0,8.0,14.0,42.5,65.0,234.0,33.0,52.0,153.0,189.0,173.0,66.0,71.0,127.0,121.0,55.0,63.6,325.0,56200.0,637.0,450.0,125.0,575.0,370.0,333.0,30.0,205.0,185.0,2.25,2.86,1232.0,87.6,11.2,567.0,1007.0,141.75,251.75
4,50003,6,4384,2015,794,7306.21,596.31,50003,5835.0,47649.0,22429.0,5733.0,8.0,6.0,22.0,0.0,23.0,43.0,67.0,38.5,356.0,1284.0,183.0,182.0,613.0,1032.0,951.0,261.0,229.0,353.0,268.0,123.0,71.7,1200.0,110500.0,2322.0,1709.0,525.0,2234.0,1615.0,1390.0,162.0,619.0,529.0,2.58,3.08,5816.0,91.0,24.0,2778.0,4012.0,463.0,668.666666667
6,50003,6,4678,2015,2040,30260.71,2096.21,50003,5835.0,47649.0,22429.0,5733.0,8.0,6.0,22.0,0.0,23.0,43.0,67.0,38.5,356.0,1284.0,183.0,182.0,613.0,1032.0,951.0,261.0,229.0,353.0,268.0,123.0,71.7,1200.0,110500.0,2322.0,1709.0,525.0,2234.0,1615.0,1390.0,162.0,619.0,529.0,2.58,3.08,5816.0,91.0,24.0,2778.0,4012.0,463.0,668.666666667
8,50003,6,4929,2015,84,528.24,45.0,50003,5835.0,47649.0,22429.0,5733.0,8.0,6.0,22.0,0.0,23.0,43.0,67.0,38.5,356.0,1284.0,183.0,182.0,613.0,1032.0,951.0,261.0,229.0,353.0,268.0,123.0,71.7,1200.0,110500.0,2322.0,1709.0,525.0,2234.0,1615.0,1390.0,162.0,619.0,529.0,2.58,3.08,5816.0,91.0,24.0,2778.0,4012.0,463.0,668.666666667
10,50006,3,4172,2015,508,9031.81,629.24,50006,1959.0,36494.0,16957.0,1930.0,0.0,1.0,3.0,0.0,21.0,4.0,58.0,37.7,124.0,404.0,92.0,65.0,217.0,322.0,245.0,95.0,92.0,174.0,106.0,23.0,67.9,466.0,50900.0,823.0,586.0,181.0,767.0,547.0,477.0,43.0,220.0,194.0,2.55,3.09,1939.0,88.9,14.8,849.0,1339.0,283.0,446.333333333
12,50006,3,4497,2015,132,1055.16,90.0,50006,1959.0,36494.0,16957.0,1930.0,0.0,1.0,3.0,0.0,21.0,4.0,58.0,37.7,124.0,404.0,92.0,65.0,217.0,322.0,245.0,95.0,92.0,174.0,106.0,23.0,67.9,466.0,50900.0,823.0,586.0,181.0,767.0,547.0,477.0,43.0,220.0,194.0,2.55,3.09,1939.0,88.9,14.8,849.0,1339.0,283.0,446.333333333
13,50009,18,2238,2015,788,11762.56,705.75,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
15,50009,18,2478,2015,1110,19840.65,1038.0,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
17,50009,18,2548,2015,7391,97735.72,6623.22,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
19,50009,18,3644,2015,3984,59082.3,4272.0,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
21,50009,18,3870,2015,552,9749.34,517.5,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
23,50009,18,4135,2015,1482,23304.54,1676.0,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
25,50009,18,4695,2015,241,3279.84,252.75,50009,12008.0,51587.0,20917.0,11543.0,99.0,42.0,60.0,42.0,88.0,134.0,206.0,33.0,1005.0,2628.0,465.0,476.0,1859.0,2094.0,1646.0,509.0,389.0,554.0,301.0,82.0,79.2,2871.0,118600.0,4577.0,3276.0,1168.0,4444.0,3375.0,2682.0,574.0,1069.0,857.0,2.68,3.09,11745.0,93.0,23.0,6075.0,7910.0,337.5,439.444444444
