,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
0,2106,50613,2015,10355,146038.7,9719.85
1,2106,50613,2016,2218,30478.75,2116.25
2,2113,50543,2015,671,9310.22,659.85
3,2113,50543,2016,159,2065.9,177.0
4,2130,50703,2015,7418,111583.91,6879.37
5,2130,50703,2016,1726,27856.11,1556.9
6,2152,50469,2015,573,7721.08,633.37
7,2152,50469,2016,97,904.66,87.5
8,2178,52172,2015,1928,24324.18,1917.12
9,2178,52172,2016,480,5588.5,520.8
10,2190,50314,2015,11111,121689.06,6322.17
11,2190,50314,2016,2425,31803.06,1447.11
12,2191,52632,2015,7696,125093.49,8053.32
13,2191,52632,2016,2610,47338.2,2928.12
14,2200,50583,2015,1668,22811.55,1817.24
15,2200,50583,2016,262,4174.87,318.78
16,2205,51632,2015,1880,24623.01,1555.41
17,2228,50273,2015,1312,17462.07,1367.65
18,2228,50273,2016,229,3086.38,208.85
19,2233,51360,2015,2253,29553.34,2480.69
20,2233,51360,2016,478,6522.65,477.62
21,2238,50009,2015,788,11762.56,705.75
22,2238,50009,2016,12,409.32,12.0
23,2248,50312,2015,3401,67682.06,2815.35
24,2248,50312,2016,688,13998.44,549.16
25,2285,52240,2015,4552,76927.11,3860.35
26,2285,52240,2016,735,12238.81,663.5
27,2290,50588,2015,4046,56289.66,3620.45
28,2290,50588,2016,993,12448.07,858.18
29,2327,50841,2015,754,10245.14,822.28
30,2327,50841,2016,201,2196.57,159.1
31,2353,52136,2015,3747,53349.19,4486.65
32,2353,52136,2016,204,2549.94,237.0
33,2367,51601,2015,392,5010.83,346.75
34,2413,52001,2015,6298,90065.02,6261.29
35,2413,52001,2016,1560,22925.67,1597.5
36,2445,51560,2015,574,7189.48,571.79
37,2445,51560,2016,133,1423.37,120.12
38,2448,50125,2015,1257,17740.7,1245.53
39,2448,50125,2016,428,6738.18,413.5
40,2459,50115,2015,654,7352.33,607.24
41,2459,50115,2016,114,1803.9,141.0
42,2460,50441,2015,2549,33731.76,2782.46
43,2465,52003,2015,1934,25831.8,1713.2
44,2465,52003,2016,366,5269.8,345.83
45,2475,50597,2015,719,10681.07,1044.94
46,2475,50597,2016,308,4790.07,473.24
47,2478,50009,2015,1110,19840.65,1038.0
48,2478,50009,2016,240,4462.62,225.0
49,2487,52205,2015,2259,28900.96,2547.85
50,2498,50606,2015,251,2259.67,230.12
51,2498,50606,2016,78,780.34,64.27
52,2500,50010,2015,10676,149121.63,10039.15
53,2500,50010,2016,2397,33750.09,2162.55
54,2501,50010,2015,10924,144833.66,9959.4
55,2501,50010,2016,2323,29515.64,2065.45
56,2502,50021,2015,10249,150094.01,10698.09
57,2502,50021,2016,1323,18874.21,1283.19
58,2505,50036,2015,5221,70810.55,5593.45
59,2505,50036,2016,1137,14605.93,1110.83
60,2506,52601,2015,9472,143431.66,9022.58
61,2506,52601,2016,2332,32726.43,2268.78
62,2507,52601,2015,3031,29679.78,2542.23
63,2507,52601,2016,650,6147.99,502.0
64,2508,52405,2015,7880,115732.8,7862.83
65,2508,52405,2016,1385,23190.69,1477.64
66,2509,52404,2015,4091,49768.76,3801.9
67,2509,52404,2016,877,9749.85,814.19
68,2512,52240,2015,27686,419534.61,25917.38
69,2512,52240,2016,7961,112149.81,7456.56
70,2513,52240,2015,4811,60268.48,4156.64
71,2513,52240,2016,1469,17970.36,1284.99
72,2514,50129,2015,1275,13817.52,1163.28
73,2514,50129,2016,395,5522.69,330.61
74,2515,50401,2015,8062,120977.04,8866.56
75,2515,50401,2016,1548,21884.76,1773.91
76,2517,50208,2015,5549,76238.42,5890.95
77,2517,50208,2016,1175,16015.39,1114.68
78,2518,51566,2015,2716,38178.25,3110.36
79,2518,51566,2016,495,6279.24,434.02
80,2521,50265,2015,7944,107379.85,7775.4
81,2521,50265,2016,1818,25706.4,1606.35
82,2522,51360,2015,7582,112353.87,7637.09
83,2522,51360,2016,1255,17305.66,1282.1
84,2523,52544,2015,3007,35476.85,3183.06
85,2523,52544,2016,855,11791.07,923.05
86,2524,52001,2015,7395,103507.58,6728.19
87,2524,52001,2016,1924,25920.76,1669.56
88,2527,50315,2015,4696,56331.05,4392.49
89,2527,50315,2016,946,10451.43,810.55
90,2528,50315,2015,9994,121199.45,7700.05
91,2528,50315,2016,1963,16112.16,1158.55
