	can_rate	image	num_votes	rating	tconst	title	type	year
0	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@._V1_.jpg', u'width': 933, u'height': 1388}	1721329	9.3	tt0111161	The Shawshank Redemption	feature	1994
1	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTUxOTdjMDMtMWY1MC00MjkxLTgxYTMtYTM1MjU5ZTJlNTZjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg', u'width': 798, u'height': 1129}	1176430	9.2	tt0068646	The Godfather	feature	1972
2	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDVjZjgxNTgtMGNhMC00YWU0LTg0YTQtNTkxNzBjMDBkNWYyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg', u'width': 800, u'height': 1140}	806350	9.0	tt0071562	The Godfather: Part II	feature	1974
3	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg', u'width': 1383, u'height': 2048}	1707217	9.0	tt0468569	The Dark Knight	feature	2008
4	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_.jpg', u'width': 682, u'height': 1023}	458646	8.9	tt0050083	12 Angry Men	feature	1957
5	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzMwMTM4MDU2N15BMl5BanBnXkFtZTgwMzQ0MjMxMDE@._V1_.jpg', u'width': 439, u'height': 679}	881530	8.9	tt0108052	Schindler's List	feature	1993
6	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_.jpg', u'width': 1010, u'height': 1500}	1348519	8.9	tt0110912	Pulp Fiction	feature	1994
7	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_.jpg', u'width': 350, u'height': 519}	1236746	8.9	tt0167260	The Lord of the Rings: The Return of the King	feature	2003
8	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_.jpg', u'width': 1344, u'height': 2048}	512408	8.9	tt0060196	The Good, the Bad and the Ugly	feature	1966
9	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNGM2NjQxZTAtMmU5My00YTk5LWFmOWMtYjZlYzk4YzMwNjFlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg', u'width': 1600, u'height': 2400}	1373935	8.8	tt0137523	Fight Club	feature	1999
10	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1_.jpg', u'width': 342, u'height': 500}	1259364	8.8	tt0120737	The Lord of the Rings: The Fellowship of the Ring	feature	2001
11	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYmViY2M2MTYtY2MzOS00YjQ1LWIzYmEtOTBiNjhlMGM0NjZjXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1369, u'height': 2125}	853918	8.8	tt0080684	Star Wars: Episode V - The Empire Strikes Back	feature	1980
