,ap_name,year,D_cancel,A_cancel,D_divert,A_divert,D_4met,A_4met,%on/t_gate_D,%on/t_ap_D,%on/t_gate_A,avg_taxi_out_time,avg_taxi_out_del,avg_ap_D_del,avg_airborne_del,avg_taxi_in_del,avg_block_del,avg_gate_A_del
0,ABQ,2004.0,242.0,235.0,71.0,46.0,53971,53818,0.803,0.7809,0.7921,9.89,2.43,12.1,2.46,0.83,2.55,10.87
1,ABQ,2005.0,221.0,190.0,61.0,33.0,51829,51877,0.814,0.7922,0.8001,9.79,2.29,11.2,2.26,0.89,2.34,10.24
2,ABQ,2006.0,392.0,329.0,71.0,124.0,49682,51199,0.7983,0.7756,0.7746,9.89,2.16,12.33,2.12,0.84,2.66,11.82
3,ABQ,2007.0,366.0,304.0,107.0,45.0,53255,53611,0.8005,0.7704,0.7647,10.34,2.4,12.95,2.19,1.29,3.06,12.71
4,ABQ,2008.0,333.0,300.0,79.0,42.0,49589,49512,0.8103,0.7844,0.7875,10.41,2.41,12.32,1.82,1.03,2.79,11.48
5,ABQ,2009.0,192.0,162.0,74.0,26.0,42550,42704,0.8341,0.8147,0.8224,9.88,1.89,10.45,1.74,0.92,1.98,9.27
6,ABQ,2010.0,222.0,177.0,71.0,50.0,42302,42169,0.8144,0.7907,0.8047,9.95,2.05,11.58,1.66,0.95,1.9,10.23
7,ABQ,2011.0,345.0,294.0,77.0,61.0,42283,42297,0.8072,0.7758,0.8022,10.5,2.51,12.57,1.58,0.84,1.87,10.63
8,ABQ,2012.0,237.0,181.0,65.0,60.0,39105,39107,0.8219,0.794,0.8177,10.27,2.32,12.11,1.41,0.98,1.8,9.73
9,ABQ,2013.0,232.0,212.0,62.0,46.0,35277,34989,0.771,0.7402,0.7554,10.77,2.64,14.28,1.6,0.92,2.35,12.76
10,ABQ,2014.0,315.0,274.0,66.0,37.0,33292,33137,0.7451,0.7148,0.732,10.64,2.41,15.99,1.73,1.02,2.4,14.72
11,ANC,2004.0,473.0,532.0,73.0,30.0,16503,15511,0.7109,0.677,0.6502,12.41,2.92,23.05,4.03,1.08,5.93,22.62
12,ANC,2005.0,424.0,484.0,74.0,31.0,72043,67034,0.7394,0.7061,0.6955,12.19,2.78,19.97,3.65,1.01,4.96,19.35
13,ANC,2006.0,367.0,436.0,88.0,50.0,75708,69995,0.7771,0.7455,0.711,12.84,2.54,17.07,4.29,0.72,5.83,17.71
14,ANC,2007.0,359.0,423.0,93.0,54.0,78741,73323,0.7838,0.7457,0.7196,13.19,2.29,17.52,5.13,0.39,5.87,18.09
15,ANC,2008.0,268.0,355.0,97.0,57.0,76606,72479,0.7972,0.7698,0.7573,13.44,1.86,14.72,5.13,0.63,5.93,15.89
16,ANC,2009.0,354.0,421.0,84.0,80.0,67252,63135,0.8112,0.7952,0.8264,12.49,1.55,15.88,3.85,0.31,4.19,15.95
17,ANC,2010.0,149.0,204.0,84.0,32.0,73089,68125,0.7992,0.776,0.8045,11.97,1.79,18.83,3.75,0.37,3.91,20.28
18,ANC,2011.0,191.0,265.0,87.0,36.0,72556,66845,0.8276,0.805,0.8292,11.89,1.66,15.6,3.92,0.55,4.01,13.93
19,ANC,2012.0,216.0,284.0,78.0,36.0,70322,66453,0.8442,0.8235,0.8521,11.71,1.52,11.0,3.86,0.34,3.75,9.33
20,ANC,2013.0,141.0,184.0,65.0,40.0,69984,65469,0.8432,0.8228,0.8631,12.03,1.51,10.09,3.4,0.47,3.82,8.46
21,ANC,2014.0,111.0,162.0,74.0,28.0,71099,66704,0.8288,0.8074,0.86,11.33,1.33,12.34,4.09,0.54,4.57,10.82
22,ATL,2004.0,7870.0,8433.0,737.0,772.0,477323,473249,0.7596,0.5757,0.737,20.45,8.73,21.36,5.0,2.79,4.69,15.31
23,ATL,2005.0,13837.0,14480.0,790.0,1080.0,484570,480171,0.7413,0.6216,0.7337,18.52,7.26,21.8,4.24,2.72,4.62,17.23
