Roder,feature,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,Key,LocID,ALIAS,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available,airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay
1,Departure Cancellations,,1.00,0.81,0.82,-0.06,0.08,0.18,0.02,-0.12,-0.06,0.04,-0.13,-0.04,0.09,0.13,-0.14,0.19,0.41,0.41,0.00,-0.06,0.05,0.05,0.19,0.21,0.12,0.00,0.37,-0.01,0.00
2,Arrival Cancellations,1.00,,0.83,0.82,-0.06,0.08,0.17,0.02,-0.12,-0.06,0.03,-0.13,-0.04,0.09,0.14,-0.13,0.18,0.42,0.42,0.00,-0.07,0.05,0.05,0.19,0.21,0.13,0.01,0.37,-0.01,0.01
3,Departure Diversions,0.81,0.83,,0.87,-0.07,-0.02,0.12,-0.04,-0.13,-0.15,0.02,-0.17,-0.05,0.11,0.14,-0.13,0.10,0.53,0.53,0.01,-0.07,0.06,0.04,0.27,0.24,0.13,0.08,0.41,0.12,0.02
4,Arrival Diversions,0.82,0.82,0.87,,-0.03,0.03,0.17,-0.01,-0.04,-0.11,0.08,-0.19,-0.04,0.11,0.12,-0.15,0.19,0.53,0.53,-0.02,-0.07,0.05,0.08,0.18,0.18,0.14,0.01,0.50,0.13,0.04
5,Key,-0.06,-0.06,-0.07,-0.03,,0.03,-0.40,0.15,0.06,0.17,0.74,0.00,-0.12,-0.03,-0.83,-0.14,0.03,0.02,0.02,-0.08,-0.11,-0.11,0.06,0.02,0.05,0.07,0.00,0.07,0.02,0.09
6,LocID,0.08,0.08,-0.02,0.03,0.03,,0.29,0.13,0.03,0.39,0.07,0.00,-0.23,-0.08,0.05,-0.19,0.06,0.15,0.16,-0.06,-0.10,0.00,0.02,-0.02,0.06,0.05,0.16,0.16,-0.13,-0.02
7,ALIAS,0.18,0.17,0.12,0.17,-0.40,0.29,,-0.06,0.00,0.18,-0.01,-0.05,-0.11,0.01,0.62,-0.19,0.15,0.21,0.21,0.05,0.01,0.08,-0.01,0.14,0.11,0.03,0.12,0.23,0.11,0.01
8,FAA REGION,0.02,0.02,-0.04,-0.01,0.15,0.13,-0.06,,0.13,-0.01,0.21,0.09,0.07,-0.84,-0.07,0.13,-0.23,0.01,0.01,0.16,0.16,0.08,-0.15,0.04,-0.01,-0.15,0.16,0.07,0.32,-0.05
9,COUNTY,-0.12,-0.12,-0.13,-0.04,0.06,0.03,0.00,0.13,,0.22,0.05,0.01,0.00,-0.16,-0.10,0.00,-0.01,-0.10,-0.10,0.20,0.24,0.12,-0.17,-0.12,-0.12,-0.21,-0.04,-0.03,-0.01,-0.11
10,CITY,-0.06,-0.06,-0.15,-0.11,0.17,0.39,0.18,-0.01,0.22,,-0.05,0.05,-0.21,0.07,-0.19,-0.15,0.04,-0.04,-0.04,0.13,0.07,0.18,-0.18,-0.05,0.10,-0.13,-0.03,0.02,-0.24,-0.19
11,STATE,0.04,0.03,0.02,0.08,0.74,0.07,-0.01,0.21,0.05,-0.05,,-0.14,-0.20,-0.11,-0.28,-0.26,0.16,0.03,0.03,-0.09,-0.10,-0.12,0.10,0.06,0.02,0.11,0.01,0.12,0.10,0.16
12,AP Type,-0.13,-0.13,-0.17,-0.19,0.00,0.00,-0.05,0.09,0.01,0.05,-0.14,,0.32,-0.17,-0.16,0.18,-0.04,-0.14,-0.14,-0.07,-0.04,-0.04,0.07,-0.08,-0.09,0.03,0.03,-0.23,0.00,0.02
13,Latitude,-0.04,-0.04,-0.05,-0.04,-0.12,-0.23,-0.11,0.07,0.00,-0.21,-0.20,0.32,,-0.02,-0.01,0.85,-0.53,-0.10,-0.09,-0.03,-0.03,-0.07,-0.01,-0.01,0.02,-0.01,0.06,-0.06,0.13,-0.02
