,D_cancel,A_cancel,D_divert,A_divert,D_4met,A_4met,pct_oT_gate_D,pct_oT_ap_D,pct_oT_gate_A,avg_taxi_out_time,avg_taxi_out_del,avg_ap_D_del,avg_airborne_del,avg_taxi_in_del,avg_block_del,avg_gate_A_del,Chg_D_cancel,Chg_A_cancel,Chg_D_divert,Chg_A_divert,Chg_D_4met,Chg_A_4met,Chg_pct_oT_gate_D,Chg_pct_oT_ap_D,Chg_pct_oT_gate_A,Chg_avg_taxi_out_time,Chg_avg_taxi_out_del,Chg_avg_ap_D_del,Chg_avg_airborne_del,Chg_avg_taxi_in_del,Chg_avg_block_del,Chg_avg_gate_A_del
D_cancel,1.0,0.999997128799,0.999271908935,0.996313087561,0.999309942427,0.999369840506,0.204219951242,0.678607561194,0.121796366939,0.999992786426,0.999557696399,0.698138905079,0.99930942152,0.999502939018,0.919525035341,0.399853352159,0.0873852822662,0.157438534134,0.501729584906,0.286580161498,0.928155570547,0.930855866165,0.254687980629,0.437608214925,0.434009523311,0.117709526325,0.451273399094,0.299039548631,0.527170753661,0.847608375096,0.49195983084,0.281660815454
A_cancel,0.999997128799,1.0,0.999177612653,0.996104641561,0.999396081245,0.99945202973,0.201873538156,0.676845506411,0.119417528345,0.999980813264,0.999483561892,0.696421219053,0.999217510688,0.99942452309,0.918580562454,0.39765577868,0.084997869008,0.159804526267,0.503801027948,0.284283520364,0.927261009897,0.929977606911,0.257004555599,0.439761655703,0.436167150097,0.120088858543,0.449133653287,0.301325365022,0.525132936757,0.846334395637,0.494044705504,0.283959318348
D_divert,0.999271908935,0.999177612653,1.0,0.998860895819,0.997165217859,0.997287952802,0.241420194889,0.706136897093,0.15957665104,0.999409617247,0.999964561886,0.724946713128,0.999999503782,0.999978013247,0.933850868855,0.434532473215,0.125328714822,0.119646710856,0.468360992638,0.322924233394,0.941680051135,0.944118715595,0.217607697556,0.40298371822,0.399321164011,0.079736052226,0.484992031393,0.262414666925,0.559207801536,0.867236076445,0.458384947712,0.244847394119
A_divert,0.996313087561,0.996104641561,0.998860895819,1.0,0.992438967471,0.992640039296,0.287450742484,0.739119754906,0.206500395771,0.99663176369,0.998423781767,0.756988619952,0.998812863984,0.998522512478,0.949853698179,0.477014093605,0.172526703433,0.0721362077457,0.425667748092,0.367716929423,0.956664601402,0.958771051943,0.170786307983,0.358853750656,0.35511883231,0.0320801683371,0.52616896577,0.216070994891,0.598129500759,0.890006356557,0.415454148477,0.198303928212
D_4met,0.999309942427,0.999396081245,0.997165217859,0.992438967471,1.0,0.999998640068,0.167718334174,0.650857349718,0.0848453580995,0.999161651645,0.997763331593,0.671063807981,0.997239681071,0.997642246849,0.904291950312,0.365532481236,0.0503235789305,0.194010159708,0.533513393645,0.250796849806,0.913690561789,0.91664178849,0.290430852469,0.470704395604,0.467172910952,0.154513572555,0.417815672044,0.334277026198,0.495243945286,0.827314310989,0.523958138798,0.317106154777
A_4met,0.999369840506,0.99945202973,0.997287952802,0.992640039296,0.999998640068,1.0,0.16934394581,0.652108537861,0.0864884966373,0.999227809323,0.997872216512,0.672285612135,0.997360777558,0.997754073212,0.904994788389,0.367067057835,0.0519706216232,0.19239203075,0.532117787958,0.25239300058,0.914359571849,0.917299743419,0.288852343958,0.469248680558,0.465714108463,0.152883967506,0.419313455173,0.332722241377,0.496676021438,0.828239606742,0.522552729404,0.315541637978
pct_oT_gate_D,0.204219951242,0.201873538156,0.241420194889,0.287450742484,0.167718334174,0.16934394581,1.0,0.857606654695,0.996510286825,0.207936730663,0.233241932195,0.84344734517,0.240453331438,0.234979817956,0.572533667212,0.978920280527,0.993026056389,0.934564557636,0.744330963508,0.996390645282,0.553896412493,0.547785412657,0.894630929276,0.790847531489,0.793288262583,0.9480809756,0.965737773221,0.873060280306,0.939509506663,0.692538007084,0.751801638279,0.881771546959
pct_oT_ap_D,0.678607561194,0.676845506411,0.706136897093,0.739119754906,0.650857349718,0.652108537861,0.857606654695,1.0,0.811684695657,0.68139252254,0.700150779637,0.999637421563,0.705431154327,0.701425971101,0.912678639936,0.944571830535,0.790991585261,0.618501942529,0.294883921106,0.898168789169,0.903229146575,0.900062655806,0.537446418763,0.363473936837,0.367195926452,0.649516264974,0.961695799226,0.497960301248,0.981891204705,0.964936095427,0.305622090809,0.513626898269
pct_oT_gate_A,0.121796366939,0.119417528345,0.15957665104,0.206500395771,0.0848453580995,0.0864884966373,0.996510286825,0.811684695657,1.0,0.125565512087,0.151260149902,0.795662858755,0.15859312686,0.153026902147,0.50210016815,0.958455981571,0.999401388308,0.961001303061,0.797475668337,0.985828065471,0.48246751704,0.476041184356,0.928803830976,0.839172470901,0.841340335761,0.971318342041,0.940705491947,0.910714569802,0.907640492519,0.629907511744,0.804217323131,0.918065294721
avg_taxi_out_time,0.999992786426,0.999980813264,0.999409617247,0.99663176369,0.999161651645,0.999227809323,0.207936730663,0.68139252254,0.125565512087,1.0,0.99966344393,0.70085330995,0.999443348336,0.999615473458,0.92101125424,0.403331911824,0.0911684235189,0.153686466186,0.49844034155,0.290217080957,0.929562574522,0.932236999846,0.251013097256,0.434189755421,0.430584471111,0.113936781073,0.454659694075,0.295412897367,0.530394593337,0.849617724443,0.488649412628,0.278014259902
