,zip,join_month,k1bday_month,k2bday_month,jvb_pre,gender_Female,club_email_Yes,advice_grp_1,classifieds_1,classifieds_spouse_1,tony_kids_Yes,disc_PSP_unknown,disc_friend/neigh,disc_Yahoo,disc_Google,disc_other_par_grp,disc_mag_paper_blog,disc_no_recall,discovered_Other,kid_count_0.5,kid_count_1.0,kid_count_2.0,kid_count_3.0,kid_count_4.0
zip,1.0,,,,,,,,,,,,,,,,,,,,,,,
join_month,,1.0,,,,,,,,,,,,,,,,,,,,,,
k1bday_month,,,1.0,,,,,,,,,,,,,,,,,,,,,
k2bday_month,,,,1.0,,,,,,,,,,,,,,,,,,,,
jvb_pre,,,,,1.0,,,,,,,,,,,,,,,,,,,
gender_Female,,,,,,1.0,,,,,,,,,,,,,,,,,,
club_email_Yes,,,,,,,1.0,,,,,,,,,,,,,,,,,
advice_grp_1,,,,,,,,1.0,,,,,,,,,,,,,,,,
classifieds_1,,,,,,,,,1.0,,,,,,,,,,,,,,,
classifieds_spouse_1,,,,,,,,,,1.0,,,,,,,,,,,,,,
tony_kids_Yes,,,,,,,,,,,1.0,,,,,,,,,,,,,
disc_PSP_unknown,,,,,,,,,,,,1.0,,,,,,,,,,,,
disc_friend/neigh,,,,,,,,,,,,,1.0,,,,,,,,,,,
disc_Yahoo,,,,,,,,,,,,,,1.0,,,,,,,,,,
disc_Google,,,,,,,,,,,,,,,1.0,,,,,,,,,
disc_other_par_grp,,,,,,,,,,,,,,,,1.0,,,,,,,,
disc_mag_paper_blog,,,,,,,,,,,,,,,,,1.0,,,,,,,
disc_no_recall,,,,,,,,,,,,,,,,,,1.0,,,,,,
discovered_Other,,,,,,,,,,,,,,,,,,,1.0,,,,,
kid_count_0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,
kid_count_1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
kid_count_2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
kid_count_3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
kid_count_4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
