,zip,join_month,k1bday_month,k2bday_month,jvb_pre,gender_Female,club_email_Yes,advice_grp_1.0,classifieds_1.0,classifieds_spouse_1.0,tony_kids_Yes,discovered_PSP mem I do not know,discovered_A PSP member who is a friend/neighbor,discovered_Found it through Yahoo,discovered_Found it through a Google search,"discovered_Heard about it on another online parenting group (Urban Baby, etc.)","discovered_Heard about it through a magazine, newspaper, blog",discovered_do not remember,discovered_Other,kid_count_0.5,kid_count_1.0,kid_count_2.0,kid_count_3.0,kid_count_4.0
zip,1.0,,,,,,,,,,,,,,,,,,,,,,,
join_month,,1.0,,,,,,,,,,,,,,,,,,,,,,
k1bday_month,,,1.0,,,,,,,,,,,,,,,,,,,,,
k2bday_month,,,,1.0,,,,,,,,,,,,,,,,,,,,
jvb_pre,,,,,,,,,,,,,,,,,,,,,,,,
gender_Female,,,,,,1.0,,,,,,,,,,,,,,,,,,
club_email_Yes,,,,,,,1.0,,,,,,,,,,,,,,,,,
advice_grp_1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
classifieds_1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
classifieds_spouse_1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
tony_kids_Yes,,,,,,,,,,,1.0,,,,,,,,,,,,,
discovered_PSP mem I do not know,,,,,,,,,,,,1.0,,,,,,,,,,,,
discovered_A PSP member who is a friend/neighbor,,,,,,,,,,,,,1.0,,,,,,,,,,,
discovered_Found it through Yahoo,,,,,,,,,,,,,,1.0,,,,,,,,,,
discovered_Found it through a Google search,,,,,,,,,,,,,,,1.0,,,,,,,,,
"discovered_Heard about it on another online parenting group (Urban Baby, etc.)",,,,,,,,,,,,,,,,1.0,,,,,,,,
"discovered_Heard about it through a magazine, newspaper, blog",,,,,,,,,,,,,,,,,1.0,,,,,,,
discovered_do not remember,,,,,,,,,,,,,,,,,,1.0,,,,,,
discovered_Other,,,,,,,,,,,,,,,,,,,1.0,,,,,
kid_count_0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,
kid_count_1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
kid_count_2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
kid_count_3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
kid_count_4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
