,zip,join_month,k1bday_month,k2bday_month,jvb_pre,gender_Female,club_email_Yes,advice_grp_1,classifieds_1,classifieds_spouse_1,tony_kids_Yes,disc_PSP_unknown,disc_friend_neigh,disc_Yahoo,disc_Google,disc_other_par_grp,disc_mag_paper_blog,disc_no_recall,discovered_Other,kid_count_0.5,kid_count_1.0,kid_count_2.0,kid_count_3.0,kid_count_4.0
zip,1.0,0.00987758732444,0.0154193323778,0.00816027923588,0.0304045548255,0.0059643418896,0.00200981992732,0.00261827194093,0.0264112093501,0.00312885138076,0.00126412145178,0.0149185908157,0.00562002011356,0.00600005003695,0.000616462703128,0.0231000081333,0.0069283405577,0.00678879279843,0.00988017378928,0.0199675605639,0.00330000269006,0.00980701256054,0.00542556005097,0.00380062695427
join_month,0.00987758732444,1.0,0.00368739413393,0.000542851416433,0.0269786426688,0.000680429581882,0.0128423312308,0.0212579486833,0.00396753196216,0.020734298931,0.0247005846652,0.0159448915705,0.00161146160156,0.0147257312328,0.0103065306136,0.00153436310838,0.00481504074996,0.00732937530424,0.00864982515524,0.00377433445603,0.00315683258332,0.00784983300144,0.00325110932206,0.0141029815075
k1bday_month,0.0154193323778,0.00368739413393,1.0,0.654321177026,0.0448585539094,0.0156682260385,0.00343986097166,0.0227424881889,0.0129279504122,0.00963563784933,0.00695200931621,0.0154322127133,0.0115787873674,0.0131319345345,0.0132184597513,0.00326913206558,0.00866816910621,0.00148657957811,0.0268559094936,0.0137776174337,0.0109899228264,0.00708546414731,9.25397594063e-06,0.00993460333459
k2bday_month,0.00816027923588,0.000542851416433,0.654321177026,1.0,0.0294153815167,0.0161676200974,0.0093969179633,0.0192321311615,0.0157655760491,0.000356263272964,0.0130113817289,0.0151286638766,0.0133408084682,0.00673397029164,0.00818710520794,0.0112147452705,0.0154315850682,0.00550904378364,0.0271532121634,0.015709480125,0.0172302292259,0.0168995009944,0.00254852055697,0.00427366322503
jvb_pre,0.0304045548255,0.0269786426688,0.0448585539094,0.0294153815167,1.0,0.06905055627,0.0970858582424,0.0646947321086,0.0475779753472,0.0471911598099,0.058748132782,0.0131834223667,0.0840060768586,0.0369503733634,0.0038296759449,0.0444523550719,0.0210261188998,0.0641398247376,0.0444412658913,0.517383778727,0.0792026250306,0.237717211773,0.123814631584,0.0446401037567
gender_Female,0.0059643418896,0.000680429581882,0.0156682260385,0.0161676200974,0.06905055627,1.0,0.026126746381,0.0589807645375,0.0545775280193,0.000284929831612,0.019818465879,0.00343308847456,0.0487179075067,0.00699385009707,0.00407764211776,0.0084597630149,0.0188257380449,0.0366181803616,0.0359414503218,0.0236989545678,0.0130309141141,0.0181531146292,0.011076658901,0.0038462249061
club_email_Yes,0.00200981992732,0.0128423312308,0.00343986097166,0.0093969179633,0.0970858582424,0.026126746381,1.0,0.0982789413938,0.058079533526,0.0552963482065,0.0295879935379,0.0140872515909,0.00139164903806,0.00338279739806,0.0179216076793,0.00331006208768,0.0102536431037,0.0164365462966,0.014269840518,0.0287681200876,0.030316890789,0.0371025147384,0.0324021244207,0.00327507004531
advice_grp_1,0.00261827194093,0.0212579486833,0.0227424881889,0.0192321311615,0.0646947321086,0.0589807645375,0.0982789413938,1.0,0.341914754884,0.010039317339,0.106827614167,0.00447567165758,0.00954099132401,0.00469714703445,0.00895671414651,0.00111368737936,0.0111344825635,0.00299782475378,0.00841015014621,0.0186849793518,0.0157572364086,0.0158331752684,0.0175973407737,0.0159571935674
classifieds_1,0.0264112093501,0.00396753196216,0.0129279504122,0.0157655760491,0.0475779753472,0.0545775280193,0.058079533526,0.341914754884,1.0,0.0218883086712,0.0394884856588,0.00453662647491,0.0185293129891,0.000531159476661,0.0159629223786,0.0121092862276,0.00401644535514,0.00661480070109,0.0115360033594,0.00902291560328,0.00531069403368,0.021989044204,0.00986974804783,0.00343969857366
classifieds_spouse_1,0.00312885138076,0.020734298931,0.00963563784933,0.000356263272964,0.0471911598099,0.000284929831612,0.0552963482065,0.010039317339,0.0218883086712,1.0,0.040480065698,0.00355014474723,0.0211765857303,0.0110239792418,0.0120787787763,0.0118863773451,0.0022510903986,0.0065805430785,0.00830253583393,0.00675864556667,0.0218444515563,0.0140123508815,0.000219562576787,0.00547840778071
