Month,"""Park Slope Parents"": (Worldwide)"
2004-01,28
2004-02,27
2004-03,33
2004-04,26
2004-05,45
2004-06,22
2004-07,47
2004-08,44
2004-09,20
2004-10,41
2004-11,21
2004-12,19
2005-01,25
2005-02,18
2005-03,30
2005-04,42
2005-05,14
2005-06,29
2005-07,22
2005-08,50
2005-09,52
2005-10,67
2005-11,92
2005-12,54
2006-01,37
2006-02,38
2006-03,23
2006-04,71
2006-05,51
2006-06,72
2006-07,77
2006-08,58
2006-09,60
2006-10,39
2006-11,49
2006-12,28
2007-01,82
2007-02,75
2007-03,66
2007-04,71
2007-05,85
2007-06,100
2007-07,84
2007-08,69
2007-09,67
2007-10,38
2007-11,42
2007-12,40
2008-01,52
2008-02,64
2008-03,61
2008-04,51
2008-05,68
2008-06,46
2008-07,55
2008-08,60
2008-09,61
2008-10,61
2008-11,57
2008-12,54
2009-01,66
2009-02,45
2009-03,53
2009-04,54
2009-05,40
2009-06,36
2009-07,56
2009-08,55
2009-09,39
2009-10,43
2009-11,30
2009-12,38
2010-01,31
2010-02,44
2010-03,52
2010-04,50
2010-05,42
2010-06,38
2010-07,52
2010-08,27
2010-09,50
2010-10,40
2010-11,26
2010-12,39
2011-01,37
2011-02,41
2011-03,39
2011-04,38
2011-05,42
2011-06,41
2011-07,39
2011-08,49
2011-09,42
2011-10,35
2011-11,33
2011-12,32
2012-01,39
2012-02,73
2012-03,54
2012-04,55
2012-05,32
2012-06,38
2012-07,32
2012-08,41
2012-09,40
2012-10,41
2012-11,32
2012-12,25
2013-01,37
2013-02,42
2013-03,22
2013-04,30
2013-05,29
2013-06,37
2013-07,36
2013-08,42
2013-09,43
2013-10,31
2013-11,24
2013-12,29
2014-01,39
2014-02,22
2014-03,40
2014-04,23
2014-05,33
2014-06,27
2014-07,22
2014-08,27
2014-09,19
2014-10,29
2014-11,14
2014-12,21
2015-01,21
2015-02,25
2015-03,15
2015-04,26
2015-05,20
2015-06,24
2015-07,26
2015-08,22
2015-09,23
2015-10,22
2015-11,23
2015-12,22
2016-01,18
2016-02,18
2016-03,19
2016-04,17
2016-05,19
2016-06,20
2016-07,16
2016-08,20
2016-09,17
2016-10,16
2016-11,13
2016-12,19
