Rank,Network,Network Type,Network Category,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
1,FOX,Broadcast,-,1,"160,096",18.84%,"160,096",931,"490,763",28.39%,"490,763",3.07,
2,AETV,Cable,-,4,"124,716",14.67%,"31,179",855,"178,190",10.31%,"44,548",1.43,
3,TNT,Cable,-,2,"85,056",10.01%,"42,528",706,"169,154",9.79%,"84,577",1.99,
4,ABCF,Cable,-,1,"19,466",2.29%,"19,466",453,"21,904",1.27%,"21,904",1.13,
5,USA,Cable,-,3,"10,922",1.29%,"3,641",597,"13,882",0.80%,"4,627",1.27,
6,ABC,Broadcast,-,2,"10,179",1.20%,"5,090",659,"12,280",0.71%,"6,140",1.21,
7,CW,Broadcast,-,8,"9,122",1.07%,"1,140",784,"12,214",0.71%,"1,527",1.34,
8,TBS,Cable,-,6,"8,739",1.03%,"1,457",616,"10,393",0.60%,"1,732",1.19,
9,FSW,Cable,Sports,3,"7,848",0.92%,"2,616",607,"16,719",0.97%,"5,573",2.13,
10,FNC,Cable,News,3,"6,832",0.80%,"2,277","1,053","11,303",0.65%,"3,768",1.65,
11,VH1,Cable,-,1,"6,063",0.71%,"6,063",599,"12,092",0.70%,"12,092",1.99,
12,AMC,Cable,-,1,"5,579",0.66%,"5,579",523,"6,133",0.35%,"6,133",1.10,
13,NBC,Broadcast,-,2,"5,514",0.65%,"2,757",513,"12,380",0.72%,"6,190",2.25,
14,MYNETTV,Broadcast,-,6,"5,469",0.64%,912,618,"6,375",0.37%,"1,063",1.17,
15,WE,Cable,-,2,"5,397",0.63%,"2,699",889,"14,864",0.86%,"7,432",2.75,
16,VH1CL,Cable,-,2,"5,377",0.63%,"2,689",494,"5,758",0.33%,"2,879",1.07,
17,CNN,Cable,News,3,"5,192",0.61%,"1,731",854,"8,050",0.47%,"2,683",1.55,
18,SPIKETV,Cable,-,3,"4,510",0.53%,"1,503",774,"11,804",0.68%,"3,935",2.62,
19,ESPN2,Cable,Sports,1,"4,451",0.52%,"4,451",637,"6,280",0.36%,"6,280",1.41,
20,FSS,Cable,Sports,2,"4,297",0.51%,"2,149",723,"7,785",0.45%,"3,893",1.81,
21,WGNAMER,Cable,-,5,"4,253",0.50%,851,420,"4,810",0.28%,962,1.13,
22,FSI,Cable,Sports,2,"3,710",0.44%,"1,855",662,"7,390",0.43%,"3,695",1.99,
23,LIFE,Cable,-,3,"3,639",0.43%,"1,213",992,"5,964",0.35%,"1,988",1.64,
